,RegionName,City,State,Metro,CountyName,SizeRank,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,%_increase
0,10025,New York,NY,"New York, NY",New York,1,1900.0,1900.0,1895.0,1900.0,1875.0,1900.0,1900.0,1900.0,1900.0,2000.0,2000.0,2100.0,2150.0,2095.0,2000.0,2100.0,2150.0,2100.0,2195.0,2145.0,1995.0,2100.0,2200.0,2200.0,2275.0,2300.0,2300.0,2250.0,2250.0,2250.0,2300.0,2250.0,2450.0,2325.0,2395.0,2350.0,2395.0,2495.0,2400.0,2400.0,2500.0,2505.0,2510.0,2600.0,2500.0,2600.0,2600.0,2700.0,2702.5,2649.0,2550.0,2600.0,2662.5,2650.0,2600.0,2597.5,2505.0,2400.0,2588.0,2600.0,2550.0,2389.5,2500.0,2500.0,2625.0,2600.0,2595.0,2550.0,2547.0,2540.5,2550.0,2500.0,2500.0,2618.0,2600.0,2600.0,2695.0,2625.0,2650.0,2700.0,2659.5,2450.0,28.94736842105263
1,10023,New York,NY,"New York, NY",New York,3,2295.0,2200.0,2292.5,2295.0,2200.0,2245.0,2250.0,2235.0,2275.0,2299.0,2300.0,2350.0,2320.0,2300.0,2245.0,2200.0,2200.0,2200.0,2201.0,2300.0,2229.0,2250.0,2350.0,2300.0,2300.0,2355.0,2350.0,2395.0,2380.0,2332.0,2300.0,2400.0,2649.0,2695.0,2750.0,2840.0,2700.0,2700.0,2771.0,2771.0,2810.0,2862.5,2915.0,2900.0,2871.5,2771.0,2900.0,2897.5,2900.0,2850.0,2896.5,2925.0,2900.0,2900.0,2780.0,2737.5,2850.0,2650.0,2621.5,2662.5,2650.0,2600.0,2800.0,2800.0,2800.0,2800.0,2800.0,2750.0,2800.0,2760.0,2750.0,2780.0,2800.0,2800.0,2893.0,2900.0,2800.0,2800.0,2850.0,2800.0,2770.0,2695.0,17.429193899782135
2,10002,New York,NY,"New York, NY",New York,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750.0,2472.5,2375.0,2400.0,2750.0,2500.0,2500.0,2670.0,2597.5,2500.0,2495.0,2575.0,2690.0,2500.0,2400.0,2300.0,2495.0,2250.0,2295.0,2495.0,2300.0,2200.0,2195.0,2300.0,2600.0,2500.0,2500.0,2495.0,2300.0,2390.0,2450.0,2355.0,2287.5,2202.5,2400.0,2272.5,2199.0,2199.5,2227.5,2500.0,2500.0,2295.0,2312.5,
3,11226,New York,NY,"New York, NY",Kings,10,,,,,,,,,,,,,,,,,,,,,,,1525.0,1425.0,1395.0,1375.0,1375.0,1395.0,1375.0,1350.0,1450.0,1400.0,1400.0,1400.0,1450.0,1499.0,1500.0,1475.0,1450.0,1475.0,1450.0,1450.0,1400.0,1400.0,1400.0,1512.5,1550.0,1600.0,1625.0,1475.0,1525.0,1550.0,1600.0,1650.0,1700.0,1662.5,1750.0,1675.0,1750.0,1650.0,1775.0,1550.0,1550.0,1550.0,1500.0,1482.5,1512.5,1597.5,1550.0,1500.0,1550.0,1500.0,1500.0,1500.0,1597.0,1550.0,1525.0,1525.0,1550.0,1550.0,1645.0,1600.0,
4,11375,New York,NY,"New York, NY",Queens,11,1325.0,1300.0,1300.0,1325.0,1337.5,1350.0,1350.0,1400.0,1400.0,1400.0,1395.0,1397.5,1395.0,1397.5,1350.0,1425.0,1395.0,1400.0,1425.0,1425.0,1425.0,1450.0,1475.0,1500.0,1500.0,1500.0,1450.0,1450.0,1430.0,1450.0,1550.0,1500.0,1550.0,1550.0,1550.0,1525.0,1525.0,1500.0,1500.0,1550.0,1500.0,1500.0,1500.0,1550.0,1555.0,1600.0,1600.0,1625.0,1650.0,1650.0,1600.0,1600.0,1600.0,1625.0,1599.0,1595.0,1695.0,1600.0,1625.0,1600.0,1600.0,1550.0,1595.0,1600.0,1600.0,1625.0,1687.5,1700.0,1675.0,1675.0,1700.0,1675.0,1695.0,1695.0,1690.0,1725.0,1800.0,1800.0,1795.0,1785.0,1695.0,1925.0,45.283018867924525
5,10016,New York,NY,"New York, NY",New York,12,2300.0,2275.0,2299.5,2300.0,2300.0,2295.0,2300.0,2360.0,2325.0,2300.0,2250.0,2250.0,2250.0,2295.0,2300.0,2250.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2395.0,2350.0,2350.0,2400.0,2400.0,2600.0,2550.0,2565.0,2550.0,2595.0,2595.0,2699.0,2640.0,2700.0,2733.0,2748.5,2650.0,2602.5,2672.5,2700.0,2700.0,2700.0,2700.0,2700.0,2748.5,2698.0,2625.0,2650.0,2595.0,2595.0,2500.0,2500.0,2500.0,2550.0,2450.0,2500.0,2603.5,2705.0,2795.0,2875.0,2825.0,2799.5,2698.0,2650.0,2675.0,2621.0,2695.0,2750.0,2750.0,2787.5,2795.0,2800.0,2775.0,2775.0,2750.0,19.565217391304348
6,11235,New York,NY,"New York, NY",Kings,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.0,1650.0,1550.0,1525.0,1500.0,1475.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1665.0,1600.0,1550.0,1600.0,1749.0,1700.0,1697.0,1649.5,1750.0,1700.0,1695.0,1550.0,1650.0,1699.5,1700.0,1632.5,1695.0,1725.0,
7,10009,New York,NY,"New York, NY",New York,14,1900.0,1900.0,1925.0,1925.0,1900.0,1950.0,1950.0,1975.0,1950.0,1975.0,2000.0,1999.0,1990.0,1975.0,1990.0,1992.5,1975.0,1940.0,1950.0,1975.0,1975.0,1995.0,2000.0,2000.0,2000.0,2050.0,2070.0,2095.0,2100.0,2075.0,2100.0,2100.0,2100.0,2050.0,2100.0,2025.0,2050.0,2057.5,2300.0,2400.0,2050.0,2100.0,2100.0,2095.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2150.0,2100.0,2100.0,2200.0,2100.0,2100.0,2175.0,2100.0,2100.0,2145.0,2000.0,2150.0,2195.0,2197.5,2175.0,2195.0,2200.0,2200.0,2190.0,2150.0,2110.0,2050.0,2100.0,2100.0,2100.0,2136.0,2150.0,2199.0,2195.0,2150.0,2200.0,15.789473684210526
8,10029,New York,NY,"New York, NY",New York,15,,,,,,,,,,,,,,,,,,2000.0,2325.0,2375.0,2350.0,2550.0,2600.0,2600.0,2500.0,2600.0,2600.0,2575.0,2400.0,2350.0,2650.0,2650.0,2772.5,2800.0,2800.0,2800.0,2762.5,2800.0,2800.0,2800.0,2750.0,2750.0,2812.5,2800.0,2800.0,2800.0,2750.0,2800.0,2800.0,2775.0,2750.0,2750.0,2800.0,2800.0,2800.0,2800.0,2800.0,2850.0,2850.0,2850.0,2800.0,2825.0,2800.0,2725.0,2700.0,2700.0,2700.0,2800.0,2759.5,2800.0,2750.0,2750.0,2800.0,2800.0,2750.0,2775.0,2800.0,2750.0,2800.0,2812.5,2800.0,2750.0,
9,10128,New York,NY,"New York, NY",New York,16,1950.0,1900.0,1875.0,1862.5,1850.0,1850.0,1875.0,1875.0,1850.0,1850.0,1850.0,1850.0,1847.0,1875.0,1875.0,1850.0,1850.0,1850.0,1845.0,1850.0,1850.0,1879.0,1899.5,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1925.0,1949.0,1949.0,1995.0,1950.0,1925.0,2000.0,2000.0,2125.0,2100.0,1995.0,2000.0,2050.0,2050.0,2050.0,2095.0,2037.5,2012.5,2050.0,2072.5,2072.0,1995.0,1975.0,1965.0,1950.0,1965.0,1965.0,2050.0,1950.0,1925.0,2000.0,2000.0,2050.0,2062.5,2075.0,2100.0,2137.5,2095.0,2050.0,2077.5,2150.0,2250.0,2249.0,2150.0,2175.0,2200.0,2179.0,2150.0,2150.0,2137.5,9.615384615384615
10,10011,New York,NY,"New York, NY",New York,17,2500.0,2500.0,2490.0,2495.0,2400.0,2450.0,2600.0,2597.5,2650.0,2625.0,2595.0,2500.0,2495.0,2495.0,2475.0,2495.0,2499.0,2500.0,2495.0,2500.0,2500.0,2550.0,2525.0,2500.5,2500.0,2550.0,2500.0,2500.0,2500.0,2500.0,2525.0,2699.5,2900.0,2850.0,2900.0,2925.0,2850.0,2900.0,2900.0,2850.0,2900.0,2950.0,3000.0,2995.0,2995.0,2950.0,2995.0,2985.0,2850.0,2900.0,2900.0,2900.0,2950.0,2925.0,2850.0,2850.0,2950.0,2937.5,2700.0,2850.0,2797.5,2750.0,2850.0,2904.0,2895.0,2950.0,2950.0,2950.0,2950.0,2950.0,2925.0,2865.0,2900.0,2860.0,2850.0,2850.0,2895.0,2900.0,2900.0,2950.0,2950.0,2950.0,18.0
