oldest_review,category_african,category_bagels,category_bakeries,category_bars,category_bbq,category_beerbar,category_breakfast_brunch,category_bubbletea,category_buffets,category_burgers,category_cafes,category_cafeteria,category_candy,category_caribbean,category_chicken_wings,category_chickenshop,category_chinese,category_cocktailbars,category_coffee,category_convenience,category_creperies,category_cuban,category_cupcakes,category_customcakes,category_delis,category_desserts,category_diners,category_divebars,category_dog_parks,category_dominican,category_donuts,category_falafel,category_fishnchips,category_foodstands,category_foodtrucks,category_french,category_gastropubs,category_gaybars,category_gelato,category_gourmet,category_greek,category_grocery,category_halal,category_hookah_bars,category_hotdogs,category_icecream,category_indpak,category_irish_pubs,category_italian,category_japanese,category_juicebars,category_kosher,category_landmarks,category_latin,category_localflavor,category_mediterranean,category_mexican,category_mideastern,category_modern_european,category_moroccan,category_museums,category_newamerican,category_parks,category_peruvian,category_pizza,category_publicart,category_pubs,category_puertorican,category_restaurants,category_salad,category_sandwiches,category_seafood,category_soulfood,category_spanish,category_sportsbars,category_steak,category_streetvendors,category_sushi,category_tacos,category_tapas,category_tapasmallplates,category_tex-mex,category_thai,category_tobaccoshops,category_tradamerican,category_vegetarian,category_vietnamese,category_wine_bars
2011-11,0,0,8,2,1,0,1,0,0,5,2,0,0,1,2,0,15,0,5,1,0,1,0,1,4,1,2,1,0,0,3,0,0,4,0,3,0,0,0,1,0,1,0,0,7,1,2,0,3,2,0,0,1,8,0,1,17,1,0,0,2,1,4,0,12,1,1,2,3,0,3,2,0,3,0,1,0,1,0,0,1,0,1,0,3,0,0,0
2011-12,0,0,8,2,1,0,1,0,0,5,3,0,0,1,2,0,15,0,5,1,0,1,0,1,4,1,2,1,0,0,3,0,0,4,0,3,0,0,0,1,0,1,0,0,7,1,2,0,3,2,0,0,1,9,0,1,17,1,0,0,2,1,4,0,12,1,1,2,3,0,3,2,0,3,0,1,0,1,0,0,1,0,1,0,3,0,0,0
2012-01,0,0,8,2,1,0,1,0,0,5,3,0,0,1,2,0,15,0,5,1,0,1,0,1,4,1,2,1,0,0,3,0,0,4,0,3,0,0,0,1,0,1,0,0,7,1,2,0,3,2,0,0,1,9,0,1,17,1,0,0,2,1,4,0,12,1,1,2,4,0,3,2,0,3,0,1,0,1,0,0,1,0,1,0,3,0,0,0
2012-02,0,0,8,2,1,0,1,0,0,5,3,0,0,1,2,0,15,0,5,1,0,1,0,1,5,1,2,1,0,0,3,0,0,4,0,3,0,0,0,1,0,1,0,0,7,1,3,0,3,2,0,0,1,9,0,1,17,1,0,0,2,1,4,0,12,1,1,2,4,0,3,2,0,3,0,1,0,1,0,0,1,0,1,0,3,0,0,0
2012-04,0,0,8,2,1,0,1,0,0,5,3,0,0,1,2,0,15,1,5,1,0,1,0,1,5,1,2,1,0,0,3,0,0,4,0,3,0,0,0,1,0,1,0,0,7,1,3,0,4,2,0,0,1,9,0,1,18,1,0,0,2,1,4,0,12,1,1,2,4,0,3,2,0,3,0,1,0,1,0,0,1,0,1,0,3,0,0,0
2012-05,0,0,8,2,1,0,1,0,0,5,3,0,0,2,2,0,15,1,5,1,0,1,0,1,5,1,2,1,0,0,3,0,0,5,0,3,0,0,0,1,0,1,0,0,7,2,3,0,4,2,0,0,1,9,0,1,18,2,0,0,2,1,4,0,12,1,1,2,4,0,3,3,0,3,0,1,0,1,0,0,1,0,1,0,3,0,0,0
2012-06,0,0,8,2,1,0,1,0,0,5,3,0,0,2,2,0,16,1,5,1,0,1,0,1,5,1,2,1,0,0,3,0,0,5,0,3,0,0,0,1,0,1,0,0,7,2,3,0,4,2,0,0,1,9,0,1,18,2,0,0,2,1,4,0,12,1,1,2,4,0,3,3,0,3,1,1,0,1,0,0,1,0,1,0,3,0,0,0
2012-07,0,0,8,2,1,0,1,0,0,5,3,1,0,2,2,0,16,1,5,1,0,1,0,1,5,1,2,1,0,0,3,0,0,5,0,3,0,0,0,1,0,1,0,0,7,2,3,0,4,2,0,0,1,9,0,1,18,2,0,0,2,1,4,0,12,1,1,2,4,0,3,3,0,3,1,1,0,1,0,1,1,0,1,0,3,0,0,0
2012-08,0,0,8,2,1,0,1,0,0,5,3,1,0,2,2,0,16,1,5,1,0,1,0,1,5,1,2,1,0,0,3,0,0,5,0,3,0,0,0,1,0,1,0,0,7,2,3,0,4,2,0,0,1,9,0,1,18,2,0,0,2,1,4,0,12,1,1,2,4,0,3,3,0,3,1,1,1,1,0,1,1,0,1,0,3,0,0,0
2012-09,0,0,8,2,1,0,1,0,0,5,3,1,0,2,2,0,16,1,5,1,0,1,0,1,5,1,2,1,0,0,3,0,1,5,0,3,0,0,0,1,0,1,0,0,7,2,3,0,4,2,0,0,1,9,0,1,19,3,0,0,2,1,4,0,13,1,1,2,4,0,3,3,0,3,1,1,1,1,0,1,1,0,1,0,3,0,0,0
2012-10,0,0,9,2,1,0,1,0,0,6,3,1,0,2,2,0,19,1,5,1,0,1,0,1,5,2,2,1,0,0,3,0,1,5,0,3,0,0,0,1,0,1,0,0,7,2,3,0,4,2,1,0,1,9,0,1,19,3,0,0,2,1,4,0,15,1,1,2,4,0,4,3,0,3,1,1,1,1,0,1,1,0,1,0,3,0,0,0
2012-11,0,0,10,2,1,0,1,0,0,6,3,1,0,2,2,0,19,1,5,1,0,1,0,1,5,2,2,1,0,0,4,0,1,5,0,3,0,0,0,1,0,1,0,0,7,2,3,0,4,2,1,0,1,9,0,1,20,3,0,0,2,1,4,0,15,1,1,2,4,0,4,3,0,3,1,1,1,1,0,1,1,0,1,0,3,1,0,0
2012-12,0,0,10,2,1,0,1,0,0,7,3,1,0,2,2,0,20,1,5,1,0,1,0,1,5,2,2,1,0,0,4,0,1,5,0,3,1,0,0,1,0,1,0,0,7,2,3,0,4,2,1,1,1,9,0,1,20,3,0,0,2,1,4,0,17,1,1,2,5,0,4,3,0,3,1,1,1,1,0,1,1,0,1,0,4,1,0,0
