oldest_review,category_afghani,category_african,category_aquariums,category_argentine,category_artmuseums,category_asianfusion,category_austrian,category_bagels,category_bakeries,category_bars,category_basque,category_bbq,category_beer_and_wine,category_beerbar,category_bookstores,category_bowling,category_brazilian,category_breakfast_brunch,category_breweries,category_bubbletea,category_buffets,category_burgers,category_burmese,category_butcher,category_cafes,category_cajun,category_cantonese,category_caribbean,category_catering,category_cheese,category_chicken_wings,category_chickenshop,category_chinese,category_chocolate,category_cocktailbars,category_coffee,category_coffeeroasteries,category_comfortfood,category_convenience,category_creperies,category_cuban,category_cupcakes,category_customcakes,category_danceclubs,category_delis,category_desserts,category_dimsum,category_diners,category_divebars,category_dog_parks,category_dominican,category_donuts,category_empanadas,category_ethiopian,category_ferries,category_filipino,category_fondue,category_foodstands,category_foodtrucks,category_french,category_gastropubs,category_gaybars,category_gelato,category_georgian,category_german,category_gluten_free,category_greek,category_grocery,category_halal,category_hawaiian,category_herbalshops,category_herbsandspices,category_himalayan,category_hookah_bars,category_hotdog,category_hotdogs,category_icecream,category_indonesian,category_indpak,category_italian,category_japanese,category_jazzandblues,category_juicebars,category_karaoke,category_korean,category_kosher,category_landmarks,category_latin,category_laundromat,category_lebanese,category_localflavor,category_lounges,category_mediterranean,category_mexican,category_mideastern,category_modern_european,category_moroccan,category_motorcyclinggear,category_movietheaters,category_museums,category_musicvenues,category_newamerican,category_newmexican,category_nicaraguan,category_noodles,category_pakistani,category_panasian,category_parks,category_peruvian,category_pizza,category_poke,category_polish,category_poolhalls,category_portuguese,category_publicart,category_pubs,category_puertorican,category_ramen,category_restaurants,category_russian,category_salad,category_salvadoran,category_sandwiches,category_scandinavian,category_seafood,category_seafoodmarkets,category_shanghainese,category_skate_parks,category_soulfood,category_southern,category_spanish,category_sportsbars,category_steak,category_streetvendors,category_sushi,category_szechuan,category_tacos,category_taiwanese,category_tapas,category_tapasmallplates,category_tattoo,category_tea,category_tex-mex,category_thai,category_tours,category_tradamerican,category_turkish,category_vegan,category_vegetarian,category_venezuelan,category_venues,category_vietnamese,category_whiskeybars,category_wine_bars,category_wraps,category_yelpevents
2011-11,0,0,0,2,0,2,0,4,23,36,0,3,1,0,0,2,3,6,0,0,1,8,0,0,7,1,1,2,1,1,0,0,38,0,5,30,0,0,4,0,0,1,0,0,23,5,0,8,11,2,3,8,1,0,1,0,0,4,1,3,0,2,0,0,2,0,0,10,0,0,0,0,0,1,1,5,1,0,1,9,10,1,0,0,1,1,2,15,0,0,1,6,0,42,1,1,0,0,1,3,2,14,0,0,1,0,0,8,2,40,0,5,0,0,0,11,0,1,10,0,2,1,3,0,4,0,1,0,0,2,1,0,4,1,3,0,0,0,1,0,0,0,0,9,0,7,1,2,2,1,1,1,0,3,0,0
2011-12,0,0,0,2,0,2,0,4,23,39,0,3,1,0,0,2,3,7,0,0,1,8,0,0,8,1,1,2,1,1,0,0,40,0,5,30,0,0,4,0,0,1,0,0,24,6,0,8,11,2,3,8,1,0,1,0,0,4,1,3,0,2,0,0,2,0,0,10,0,0,0,0,0,1,1,5,1,0,1,9,10,1,0,0,1,1,2,16,0,0,1,6,0,42,1,1,0,0,1,3,2,14,0,0,1,0,0,8,2,41,0,5,0,0,0,11,0,1,11,0,2,1,3,0,4,0,1,0,0,2,3,0,4,1,3,0,0,0,1,0,0,0,0,9,0,7,1,2,2,1,1,1,0,3,0,0
2012-01,1,0,0,2,0,2,0,4,23,40,0,3,1,0,0,2,3,7,0,0,1,8,0,0,8,1,1,2,1,1,1,0,41,0,5,31,0,0,4,0,0,1,0,0,25,6,0,8,11,2,3,8,1,0,1,0,0,4,1,3,0,2,0,0,2,0,0,10,0,0,0,0,0,1,1,5,1,0,2,9,11,1,0,0,1,1,2,16,0,0,1,6,0,43,1,1,0,0,1,3,2,14,0,0,1,0,0,8,2,41,0,5,0,0,0,11,0,1,11,0,2,1,3,0,4,0,1,0,0,3,3,0,4,1,3,0,0,0,1,0,1,0,0,9,0,8,1,2,2,1,1,1,0,3,0,0
2012-02,1,0,0,2,0,2,0,4,23,40,0,3,1,0,0,2,3,7,0,0,1,8,0,0,8,1,1,2,1,1,1,0,41,0,5,32,0,0,4,0,0,1,0,0,25,6,0,8,11,2,3,8,1,0,1,0,0,4,1,3,0,2,0,0,2,0,0,10,0,0,0,0,0,1,1,5,1,0,2,9,11,1,0,0,1,1,2,16,0,0,1,6,0,43,1,1,0,0,1,3,2,14,0,0,1,0,0,8,2,41,0,5,0,0,0,11,0,1,11,0,2,1,3,0,4,0,1,0,0,3,4,0,4,1,3,0,0,0,1,0,1,0,0,9,0,8,1,2,2,1,1,1,0,3,0,0
2012-03,1,0,0,2,0,2,0,4,23,42,0,3,1,1,0,2,3,7,0,0,1,8,0,0,8,1,1,2,1,1,1,0,41,0,5,32,0,0,4,0,0,1,0,0,25,6,0,8,11,2,3,8,1,0,1,0,0,4,1,3,0,2,0,0,2,0,0,10,0,0,0,0,0,1,1,5,1,0,2,9,11,1,0,0,1,1,2,16,0,0,1,6,0,43,1,1,1,0,1,3,2,14,0,0,1,0,0,8,2,41,0,5,0,0,0,11,0,1,13,0,2,1,3,0,4,0,1,0,0,3,4,0,4,1,3,0,0,0,1,0,1,0,0,9,0,8,1,2,2,1,1,1,0,3,0,0
2012-04,1,0,0,2,0,2,0,4,24,44,0,3,1,1,0,2,3,7,0,0,1,8,0,0,8,1,1,2,1,1,1,0,42,0,5,32,0,0,4,0,0,1,0,0,25,6,0,8,11,2,3,8,1,0,1,0,0,4,1,3,0,2,0,0,2,0,0,10,0,0,0,0,0,1,1,5,1,0,2,9,11,1,0,0,1,1,2,16,0,0,1,7,0,43,1,1,1,0,1,3,2,14,0,0,1,0,0,9,2,41,0,5,0,0,0,11,0,1,14,0,2,1,3,0,4,0,1,0,0,3,4,0,4,1,3,0,0,0,1,0,1,0,0,9,0,8,1,2,2,1,1,1,0,3,0,0
2012-05,1,0,0,2,0,2,0,4,24,46,0,3,1,1,0,2,3,7,0,0,1,8,0,0,8,1,1,2,1,1,1,0,42,0,5,32,0,0,4,0,0,1,0,0,25,6,0,8,11,2,3,8,1,0,1,0,0,4,1,3,0,2,0,0,2,0,0,10,0,0,0,0,0,1,1,5,1,0,2,9,11,1,0,0,1,1,2,16,0,0,1,7,0,43,1,1,1,0,1,3,2,15,0,0,1,0,0,9,2,41,0,5,0,0,0,11,0,1,14,0,2,1,4,0,4,0,1,1,0,3,4,0,4,3,3,0,0,0,1,0,1,0,0,10,0,8,1,2,2,1,1,1,0,3,0,0
2012-06,1,0,0,2,0,2,0,4,25,46,0,3,1,1,0,2,3,7,0,0,1,8,0,0,8,1,1,2,1,1,1,0,43,0,5,32,0,0,4,0,0,1,0,0,25,6,0,8,11,2,3,8,1,0,1,0,0,4,1,3,0,2,0,0,2,0,0,10,0,0,0,0,0,1,1,5,2,0,2,9,11,1,0,0,1,1,2,17,0,0,1,7,1,43,1,1,1,0,1,3,2,17,0,0,1,0,0,9,2,41,0,5,0,0,0,11,0,1,14,0,2,1,4,0,4,0,1,1,0,3,4,0,4,3,3,0,0,0,1,0,1,0,0,10,0,8,1,2,2,1,1,1,0,3,0,0
2012-07,1,0,0,2,0,2,0,4,25,47,0,3,1,1,0,2,3,7,0,0,1,9,0,0,9,1,1,2,1,1,1,0,43,0,5,32,0,0,4,0,0,1,0,0,27,6,0,8,11,2,3,8,1,1,1,0,0,4,1,3,0,2,0,0,2,0,0,10,0,0,0,0,0,1,1,5,2,0,2,11,11,1,0,0,1,1,2,17,0,0,2,7,1,44,1,1,1,0,1,3,4,17,0,0,1,0,0,9,2,41,0,5,0,0,0,11,0,1,14,0,2,1,4,0,4,0,1,1,0,3,4,0,4,5,3,0,0,0,1,0,1,0,0,10,0,9,1,2,2,1,1,1,0,3,0,0
2012-08,1,0,0,2,0,2,0,4,25,48,0,3,1,1,0,2,3,7,0,0,1,9,0,0,9,1,1,2,1,1,1,0,43,0,5,32,0,0,4,0,0,1,0,0,28,6,0,8,11,2,3,8,1,1,1,0,0,4,1,3,0,2,0,0,2,0,0,10,0,0,0,0,0,1,1,5,3,0,2,11,11,1,0,0,1,1,2,17,0,0,2,7,1,45,1,1,1,0,1,3,4,17,0,0,1,0,0,9,2,41,0,5,0,0,0,11,0,1,14,0,2,1,4,0,4,0,1,1,0,3,4,0,4,6,3,0,0,0,1,0,1,0,0,10,0,9,1,2,2,1,1,1,0,3,0,0
