,category_bakeries,category_bars,category_chinese,category_cocktailbars,category_coffee,category_delis,category_mexican,category_newamerican,category_pizza
2011-11-01,23,36,38,5,30,23,42,14,40
2011-12-01,23,39,40,5,30,24,42,14,41
2012-01-01,23,40,41,5,31,25,43,14,41
2012-02-01,23,40,41,5,32,25,43,14,41
2012-03-01,23,42,41,5,32,25,43,14,41
2012-04-01,24,44,42,5,32,25,43,14,41
2012-05-01,24,46,42,5,32,25,43,15,41
2012-06-01,25,46,43,5,32,25,43,17,41
2012-07-01,25,47,43,5,32,27,44,17,41
2012-08-01,25,48,43,5,32,28,45,17,41
2012-09-01,26,49,43,5,32,28,45,18,42
2012-10-01,26,50,43,5,32,28,45,18,43
2012-11-01,27,50,44,5,32,28,46,18,43
2012-12-01,28,50,44,6,32,28,48,18,43
2013-01-01,29,50,44,7,33,28,48,18,43
2013-02-01,30,50,44,7,33,28,48,18,43
2013-03-01,31,51,45,7,34,28,48,19,43
2013-04-01,31,52,45,7,34,28,49,19,43
2013-05-01,31,53,45,7,34,28,49,21,43
2013-06-01,33,53,46,7,36,28,49,21,45
2013-07-01,33,54,46,7,37,29,50,21,47
2013-08-01,34,56,46,7,37,29,50,21,47
2013-09-01,34,59,46,8,37,30,51,21,48
2013-10-01,36,60,46,8,39,30,51,21,48
2013-11-01,36,62,46,8,39,31,51,21,48
2013-12-01,36,62,46,8,39,31,51,21,48
2014-01-01,36,62,46,9,39,31,52,21,49
2014-02-01,36,64,46,11,41,31,52,21,50
2014-03-01,36,65,46,11,41,31,52,21,50
2014-04-01,36,68,46,11,42,31,52,21,50
2014-05-01,36,69,46,11,43,33,54,22,50
2014-06-01,36,70,46,12,43,33,56,23,50
2014-07-01,36,70,46,12,44,34,59,25,51
2014-08-01,36,71,47,12,44,34,61,25,51
2014-09-01,37,72,47,12,44,35,61,26,51
2014-10-01,37,73,47,12,44,35,62,26,51
2014-11-01,37,76,48,12,48,35,64,27,52
2014-12-01,38,77,49,13,48,35,65,27,52
2015-01-01,40,77,50,14,48,35,66,27,52
2015-02-01,40,78,51,14,51,36,67,27,52
2015-03-01,40,80,51,14,51,38,68,27,54
2015-04-01,40,80,51,17,53,39,68,27,54
2015-05-01,41,83,51,18,56,39,68,28,54
2015-06-01,42,84,51,18,57,39,68,28,54
2015-07-01,42,88,52,19,60,40,68,28,54
2015-08-01,42,88,53,19,61,40,69,28,55
2015-09-01,42,89,54,19,65,40,70,28,55
2015-10-01,42,90,54,19,67,42,72,28,55
2015-11-01,42,91,54,19,67,42,72,30,55
2015-12-01,43,91,55,20,69,42,72,31,55
2016-01-01,43,91,55,20,70,42,73,32,55
2016-02-01,43,93,55,20,73,44,74,32,55
2016-03-01,44,94,55,20,75,45,74,34,55
2016-04-01,45,96,55,22,76,49,75,34,56
2016-05-01,45,96,55,23,78,49,75,36,57
2016-06-01,45,97,55,23,80,50,75,36,58
2016-07-01,45,97,56,23,80,50,75,37,58
2016-08-01,45,97,56,24,81,51,77,37,58
2016-09-01,45,99,56,24,81,52,78,39,59
2016-10-01,47,102,56,25,82,52,81,39,60
2016-11-01,47,104,56,26,82,53,81,40,61
2016-12-01,47,106,56,26,82,53,82,40,62
2017-01-01,47,106,56,27,86,53,82,41,62
2017-02-01,47,107,56,27,87,53,82,41,62
2017-03-01,47,109,56,27,87,54,82,41,62
2017-04-01,48,109,56,28,88,54,82,41,62
2017-05-01,48,112,56,28,88,54,83,41,65
2017-06-01,48,113,56,29,88,54,84,41,66
2017-07-01,48,114,56,32,88,54,84,41,67
2017-08-01,48,114,57,32,89,56,84,41,67
2017-09-01,49,116,57,33,89,56,85,41,67
2017-10-01,49,117,57,33,89,57,85,41,67
2017-11-01,50,118,57,34,90,57,86,41,68
2017-12-01,50,119,57,36,91,57,88,42,69
2018-01-01,50,120,57,36,93,57,89,42,69
2018-02-01,51,121,58,37,93,57,90,43,69
2018-03-01,52,121,58,37,94,57,90,43,70
2018-04-01,52,123,58,37,95,58,90,43,72
2018-05-01,53,123,58,38,95,59,91,43,72
2018-06-01,53,125,58,39,96,60,92,47,72
2018-07-01,53,128,59,40,96,61,93,49,72
2018-08-01,53,129,59,41,96,61,94,49,74
