,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
0,robertas-brooklyn-2,4968.452251580194,FhXjAc6nKLf414KxYujUHw,https://s3-media4.fl.yelpcdn.com/bphoto/xRNPKIfF2Gr02zBiBl3dSA/o.jpg,False,"{'address1': '261 Moore St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['261 Moore St', 'Brooklyn, NY 11206']}",roberta's,$$,4.0,2466,"['pickup', 'delivery']",https://www.yelp.com/biz/robertas-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,40.705043534338,-73.93357123374,11206
1,ltauha-restaurant-ridgewood-3,3352.13859629313,Py_oBQpNR8kMI3GbH-71Yg,https://s3-media4.fl.yelpcdn.com/bphoto/8YuBrogxDgdGn0EGLmqC1Q/o.jpg,False,"{'address1': '55-50 Myrtle Ave', 'address2': None, 'address3': '', 'city': 'Ridgewood', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['55-50 Myrtle Ave', 'Ridgewood, NY 11385']}",ltauha restaurant,$$,4.5,323,[],https://www.yelp.com/biz/ltauha-restaurant-ridgewood-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,newamerican,40.6998889,-73.9067463,11385
2,peaches-hothouse-brooklyn,4304.4365264508215,GA5msU6NO9rQRctPfDJCBg,https://s3-media1.fl.yelpcdn.com/bphoto/QkbXdv80-lGYeO312B5KYA/o.jpg,False,"{'address1': '415 Tompkins Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['415 Tompkins Ave', 'Brooklyn, NY 11216']}",peaches hothouse,$$,4.0,985,[],https://www.yelp.com/biz/peaches-hothouse-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,southern,40.6833699737169,-73.9437798410654,11216
3,saraghina-brooklyn,3632.0959278238865,fU22eRTnKLT2C-OFJ6eUGQ,https://s3-media2.fl.yelpcdn.com/bphoto/VrWTVbhKacXF9wPUPiLUjQ/o.jpg,False,"{'address1': '435 Halsey St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['435 Halsey St', 'Brooklyn, NY 11233']}",saraghina,$$,4.0,759,[],https://www.yelp.com/biz/saraghina-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,40.6835063,-73.9352006,11233
4,zum-stammtisch-glendale,3625.7889543732067,19o6iblcJvz2hdPouYhXgg,https://s3-media1.fl.yelpcdn.com/bphoto/9l2pwJbgufKGRw_aZPONnA/o.jpg,False,"{'address1': '6946 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Glendale', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['6946 Myrtle Ave', 'Glendale, NY 11385']}",zum stammtisch,$$,4.0,397,[],https://www.yelp.com/biz/zum-stammtisch-glendale?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,german,40.7017618,-73.8813408,11385
5,peaches-brooklyn,3520.0627964612568,OYKNRBU-unLF-r0bRZwY3A,https://s3-media2.fl.yelpcdn.com/bphoto/rovmh0PuWko48I1WtibarA/o.jpg,False,"{'address1': '393 Lewis Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['393 Lewis Ave', 'Brooklyn, NY 11233']}",peaches,$$,3.5,939,[],https://www.yelp.com/biz/peaches-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,southern,40.6818070319111,-73.9346463688382,11233
6,amaranto-mexican-restaurant-brooklyn,4211.6902677927665,95a04LtXLX6gePhPEwff9A,https://s3-media4.fl.yelpcdn.com/bphoto/VvXWECqDDvZEcrMtDfC29A/o.jpg,False,"{'address1': '887 Hart St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['887 Hart St', 'Brooklyn, NY 11237']}",amaranto mexican restaurant,$$,4.5,276,[],https://www.yelp.com/biz/amaranto-mexican-restaurant-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mexican,40.703111,-73.921892,11237
7,salud-bar-and-grill-brooklyn,1905.7646148351191,jhpeHVxJSmGdD61MTrKi7A,https://s3-media1.fl.yelpcdn.com/bphoto/p9UEkAWY5Z4kUPw60xWBxg/o.jpg,False,"{'address1': '1413 Bushwick Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11207', 'country': 'US', 'state': 'NY', 'display_address': ['1413 Bushwick Ave', 'Brooklyn, NY 11207']}",salud bar & grill,$$,4.0,251,[],https://www.yelp.com/biz/salud-bar-and-grill-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,latin,40.6846559,-73.9090595,11207
8,cachapas-brooklyn-brooklyn,745.1786680479062,gWE6WkBoC46dIRSMygHoPg,https://s3-media3.fl.yelpcdn.com/bphoto/ync3mFD-7e9R1JPG1uZl5g/o.jpg,False,"{'address1': '2311 Pitkin Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11207', 'country': 'US', 'state': 'NY', 'display_address': ['2311 Pitkin Ave', 'Brooklyn, NY 11207']}",cachapas brooklyn,$,4.5,53,"['pickup', 'delivery']",https://www.yelp.com/biz/cachapas-brooklyn-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,venezuelan,40.6732994500948,-73.8871204200473,11207
9,l-antagoniste-bedford-stuyvesant,3278.8054997834765,mxDfu4bHwSXoCr3FRpyMsw,https://s3-media3.fl.yelpcdn.com/bphoto/T09D75WrCBjgBlgVnul7nQ/o.jpg,False,"{'address1': '238 Malcolm X Blvd', 'address2': '', 'address3': '', 'city': 'Bedford-Stuyvesant', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['238 Malcolm X Blvd', 'Bedford-Stuyvesant, NY 11221']}",l'antagoniste,$$$,4.5,229,[],https://www.yelp.com/biz/l-antagoniste-bedford-stuyvesant?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,french,40.685019,-73.929617,11221
