,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
0,harlem-public-new-york,437.550527093737,zWem2SAbFc7lIYR2y9DE0g,https://s3-media1.fl.yelpcdn.com/bphoto/S7bWAIAsGAHre61KGgeg6w/o.jpg,False,"{'address1': '3612 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['3612 Broadway', 'New York, NY 10031']}",harlem public,$$,4.0,756,[],https://www.yelp.com/biz/harlem-public-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,newamerican,40.828717774457,-73.9484412254424,10031
1,rokc-new-york,273.88487293755026,C69uTzoWFaIWcpnYf2LbRw,https://s3-media3.fl.yelpcdn.com/bphoto/siAf8hsjG_oZ-1pYKyhpnA/o.jpg,False,"{'address1': '3452 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['3452 Broadway', 'New York, NY 10031']}",rokc,$$,4.5,300,[],https://www.yelp.com/biz/rokc-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,ramen,40.8235051,-73.9522425,10031
2,dinosaur-bar-b-que-harlem,1222.7662923400585,XzUW9MvEGOFs9_aNj11j2Q,https://s3-media2.fl.yelpcdn.com/bphoto/w4NDBIZY_0l4YSptnFFNKg/o.jpg,False,"{'address1': '700 W 125th St', 'address2': '', 'address3': '', 'city': 'Harlem', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['700 W 125th St', 'Harlem, NY 10027']}",dinosaur bar-b-que,$$,4.0,2731,"['delivery', 'pickup']",https://www.yelp.com/biz/dinosaur-bar-b-que-harlem?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bbq,40.818098338924,-73.9608729269837,10027
3,hogshead-tavern-new-york-2,96.38109534600908,fPGQCIro68M6xHu1tmdfpA,https://s3-media2.fl.yelpcdn.com/bphoto/Or8SwjrlVg7DRyVJacN9bQ/o.jpg,False,"{'address1': '126 Hamilton Pl', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['126 Hamilton Pl', 'New York, NY 10031']}",hogshead tavern,$$,4.5,173,[],https://www.yelp.com/biz/hogshead-tavern-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,wine_bars,40.8239852046558,-73.949343390213,10031
4,sugar-hill-cafe-new-york,325.0039272765248,7lO-Ncx_2omtf4Jbg2Agzg,https://s3-media2.fl.yelpcdn.com/bphoto/3cf2yzp8Z_zibOnYRNXCdg/o.jpg,False,"{'address1': '410 W 145th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['410 W 145th St', 'New York, NY 10031']}",sugar hill cafe,$,4.5,289,[],https://www.yelp.com/biz/sugar-hill-cafe-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,coffee,40.8242199,-73.9456,10031
5,the-monkey-cup-new-york-2,190.38477999282784,08qoYiDfMS-e5ua2JPiiAA,https://s3-media3.fl.yelpcdn.com/bphoto/1P3zAbRl6TPornP5RjdAXA/o.jpg,False,"{'address1': '1730 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['1730 Amsterdam Ave', 'New York, NY 10031']}",the monkey cup,$,4.5,118,[],https://www.yelp.com/biz/the-monkey-cup-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,coffee,40.8257412296042,-73.9474711693111,10031
6,anchor-wine-bar-new-york-3,148.45744013859016,TsO4cjFld0Plznpimtn8uw,https://s3-media4.fl.yelpcdn.com/bphoto/Iga3Y-l-EvfYOjmYk0fkyw/o.jpg,False,"{'address1': '3508 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['3508 Broadway', 'New York, NY 10031']}",anchor wine bar,$$,4.0,240,"['delivery', 'pickup']",https://www.yelp.com/biz/anchor-wine-bar-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.8253616094589,-73.9510338753462,10031
7,the-grange-bar-and-eatery-new-york,258.82836122642453,45hQHMdFxw0mh7ZTU--cDQ,https://s3-media1.fl.yelpcdn.com/bphoto/sFNg27JpykN2lVpwXP4PoQ/o.jpg,False,"{'address1': '1635 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['1635 Amsterdam Ave', 'New York, NY 10031']}",the grange bar and eatery,$$,3.5,569,[],https://www.yelp.com/biz/the-grange-bar-and-eatery-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bars,40.8225233274899,-73.949358447155,10031
8,the-chipped-cup-new-york,435.1860622273429,4pDEVsC1JGI9Ba9Mjx5aGA,https://s3-media2.fl.yelpcdn.com/bphoto/6L_hnsrX9_vbL97CmoFvHA/o.jpg,False,"{'address1': '3610 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['3610 Broadway', 'New York, NY 10031']}",the chipped cup,$$,4.0,355,['pickup'],https://www.yelp.com/biz/the-chipped-cup-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,coffee,40.828716,-73.948592,10031
9,the-handpulled-noodle-new-york,392.1483486007415,NebgteFykeM1gwiVgPcCHw,https://s3-media4.fl.yelpcdn.com/bphoto/1YoeaYCg8e5F1G7gaFODDw/o.jpg,False,"{'address1': '3600 Broadway', 'address2': 'Ste 3', 'address3': '', 'city': 'New York', 'zip_code': '10031', 'country': 'US', 'state': 'NY', 'display_address': ['3600 Broadway', 'Ste 3', 'New York, NY 10031']}",the handpulled noodle,$$,4.0,529,"['delivery', 'pickup']",https://www.yelp.com/biz/the-handpulled-noodle-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,chinese,40.828323,-73.9485879,10031
