,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
0,the-french-workshop-bayside-2,357.3422875276509,jxJ5cnJ4C4SkERebb4g1-w,https://s3-media3.fl.yelpcdn.com/bphoto/y_h0HWbYJ_fHr2XNapVo9A/o.jpg,False,"{'address1': '3839 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['3839 Bell Blvd', 'Bayside, NY 11361']}",the french workshop,$$,4.5,698,[],https://www.yelp.com/biz/the-french-workshop-bayside-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,40.765684008587,-73.7716380616753,11361
1,press-195-bayside-2,176.49453455279127,Y7cKrhINvxMtYGh5I_V60g,https://s3-media4.fl.yelpcdn.com/bphoto/O0ozhgJU1U2i-Fit56VTsw/o.jpg,False,"{'address1': '4011 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['4011 Bell Blvd', 'Bayside, NY 11361']}",press 195,$$,4.0,860,[],https://www.yelp.com/biz/press-195-bayside-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,tradamerican,40.763961,-73.770781,11361
2,nippon-cha-bayside-2,206.16554258141983,W2Dj_3C2ySoXgg1SaGVj6g,https://s3-media2.fl.yelpcdn.com/bphoto/tPyzkttIWOCqnZ7BVzNK0A/o.jpg,False,"{'address1': '39-34 Bell Blvd', 'address2': None, 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['39-34 Bell Blvd', 'Bayside, NY 11361']}",nippon cha,$$,4.0,570,['pickup'],https://www.yelp.com/biz/nippon-cha-bayside-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,ramen,40.76432,-73.77167,11361
3,marthas-country-bakery-bayside,102.22407443316204,jLK1bJkvBAWEGrmigscn0w,https://s3-media4.fl.yelpcdn.com/bphoto/VG4b9Nst01p7kMjQlYElNA/o.jpg,False,"{'address1': '41-06 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['41-06 Bell Blvd', 'Bayside, NY 11361']}",martha's country bakery,$$,3.5,939,[],https://www.yelp.com/biz/marthas-country-bakery-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,40.76333,-73.77113,11361
4,avli-the-little-greek-tavern-bayside-3,364.5863890031118,6KzJ3JEOQ4QrVbrrRtBxQw,https://s3-media4.fl.yelpcdn.com/bphoto/kadjfKUEuS660Plp97zkEQ/o.jpg,False,"{'address1': '38-31 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['38-31 Bell Blvd', 'Bayside, NY 11361']}",avli the little greek tavern,$$,4.0,700,[],https://www.yelp.com/biz/avli-the-little-greek-tavern-bayside-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,greek,40.7656432,-73.7718683,11361
5,chicken-lovers-bayside,435.22931230557276,YCnGoJt8eZGUBrGucWTuKw,https://s3-media1.fl.yelpcdn.com/bphoto/_utiqTtU8jKSUMIMKNIdcA/o.jpg,False,"{'address1': '215-09 Northern Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['215-09 Northern Blvd', 'Bayside, NY 11361']}",chicken lovers,$$,4.0,515,"['delivery', 'pickup']",https://www.yelp.com/biz/chicken-lovers-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bbq,40.7605747,-73.7671273,11361
6,fino-wine-and-tapas-bayside,277.86061060729514,CZg05roVBkzu1QzxTHfkPw,https://s3-media1.fl.yelpcdn.com/bphoto/nNKXPbKexRBUwH9tbnvSQQ/o.jpg,False,"{'address1': '39-13 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['39-13 Bell Blvd', 'Bayside, NY 11361']}",fino wine & tapas,$$$,4.0,332,[],https://www.yelp.com/biz/fino-wine-and-tapas-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,tapas,40.76496,-73.77137,11361
7,mama-lee-bayside,866.5072223915083,ieOIBz6Gfqmwm1B0wUzh9g,https://s3-media2.fl.yelpcdn.com/bphoto/bsVOvnQBw5wdb6_5LocjWg/o.jpg,False,"{'address1': '213-12 48th Ave', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11364', 'country': 'US', 'state': 'NY', 'display_address': ['213-12 48th Ave', 'Bayside, NY 11364']}",mama lee,$$,4.5,407,[],https://www.yelp.com/biz/mama-lee-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,chinese,40.755368,-73.767415,11364
8,krave-it-sandwich-shop-and-eatery-bayside,154.2907415723181,qYq2EW0LqO34HrvEa1rK_A,https://s3-media1.fl.yelpcdn.com/bphoto/nj4Vb43b2gITKKIH-lpzZQ/o.jpg,False,"{'address1': '40-15 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['40-15 Bell Blvd', 'Bayside, NY 11361']}",krave it sandwich shop & eatery,$$,3.5,494,"['delivery', 'pickup']",https://www.yelp.com/biz/krave-it-sandwich-shop-and-eatery-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,sandwiches,40.7637637393418,-73.7709849487713,11361
9,bourbon-street-bayside-2,154.85625685454696,4x-lgRcsLHffWP5dvMqNMA,https://s3-media2.fl.yelpcdn.com/bphoto/yRLPSDYeIPbntuy1Qof-0A/o.jpg,False,"{'address1': '40-12 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['40-12 Bell Blvd', 'Bayside, NY 11361']}",bourbon street,$$,3.5,581,"['delivery', 'pickup']",https://www.yelp.com/biz/bourbon-street-bayside-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,cajun,40.763836,-73.771288,11361
10,bareburger-bayside,136.03018794677195,JEdEant3sHdXRfXl4k7Btw,https://s3-media1.fl.yelpcdn.com/bphoto/4geFA8zFGX7Pq9wxRMkkeQ/o.jpg,False,"{'address1': '42-38 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['42-38 Bell Blvd', 'Bayside, NY 11361']}",bareburger,$$,3.5,468,"['delivery', 'pickup']",https://www.yelp.com/biz/bareburger-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,burgers,40.76171,-73.77037,11361
11,ayna-agra-indian-restaurant-bayside-2,347.43677770663527,c76v7CGWWjWj__18Mv2j5w,https://s3-media1.fl.yelpcdn.com/bphoto/U_R8-NLUbNZdbsbKFhLWCQ/o.jpg,False,"{'address1': '213-35 39th Ave', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['213-35 39th Ave', 'Bayside, NY 11361']}",ayna agra indian restaurant,$$,4.0,323,['delivery'],https://www.yelp.com/biz/ayna-agra-indian-restaurant-bayside-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.7655067,-73.7716797,11361
12,bean-square-bayside,313.06057678962725,aKajAmGI5NjFcLKvx_998w,https://s3-media2.fl.yelpcdn.com/bphoto/4TOS3uCIMuZheuFShgWI_w/o.jpg,False,"{'address1': '210-21 Northern Blvd', 'address2': None, 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['210-21 Northern Blvd', 'Bayside, NY 11361']}",bean square,$$,4.0,352,[],https://www.yelp.com/biz/bean-square-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,coffee,40.7597243366086,-73.7724686366403,11361
13,fiamma-41-bayside,188.40503737840697,lSelLuQYWfKMrYO_Dka_Qw,https://s3-media1.fl.yelpcdn.com/bphoto/jS0r6lMbHzWjaCNhF6Dk4w/o.jpg,False,"{'address1': '214-26 41st Ave', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['214-26 41st Ave', 'Bayside, NY 11361']}",fiamma 41,$$,4.0,346,"['delivery', 'pickup']",https://www.yelp.com/biz/fiamma-41-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bars,40.763566,-73.769942,11361
14,v-i-pizza-bayside,182.83806147212817,bE8vF-ayFX5auwAMuLs9Tg,https://s3-media1.fl.yelpcdn.com/bphoto/vn_eMwcyozJSEwY2Zl90Og/o.jpg,False,"{'address1': '43-02 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['43-02 Bell Blvd', 'Bayside, NY 11361']}",v i pizza,$,4.0,245,[],https://www.yelp.com/biz/v-i-pizza-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,40.7612782716751,-73.7699277698994,11361
15,aperitif-bistro-bayside-bayside,344.11603422227165,qWGFjZJ2wJeDzt1QH7t5Xg,https://s3-media1.fl.yelpcdn.com/bphoto/a1_9AM--RFf4dkbPsxXrLw/o.jpg,False,"{'address1': '213-41 39th Ave', 'address2': None, 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['213-41 39th Ave', 'Bayside, NY 11361']}",aperitif bistro bayside,$$,4.0,364,[],https://www.yelp.com/biz/aperitif-bistro-bayside-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,french,40.7655165,-73.7716246,11361
16,bcd-tofu-house-bayside,824.0720627348227,DymuoD56_QaUQdRpZSiOEw,https://s3-media4.fl.yelpcdn.com/bphoto/TmSzGnj-PC0sY7jbkxMcYA/o.jpg,False,"{'address1': '220-05 Northern Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['220-05 Northern Blvd', 'Bayside, NY 11361']}",bcd tofu house,$$,4.0,606,[],https://www.yelp.com/biz/bcd-tofu-house-bayside?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,korean,40.7614151,-73.7619636,11361
17,uncle-jacks-steakhouse-bayside-bayside-3,197.0315913509803,Nl-gzT-pEBUBBWSa6N1gkA,https://s3-media3.fl.yelpcdn.com/bphoto/Cr28YSy__QiTzn74YvMMTQ/o.jpg,False,"{'address1': '3940 Bell Blvd', 'address2': '', 'address3': '', 'city': 'Bayside', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['3940 Bell Blvd', 'Bayside, NY 11361']}",uncle jack's steakhouse - bayside,$$$$,3.5,428,[],https://www.yelp.com/biz/uncle-jacks-steakhouse-bayside-bayside-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,steak,40.76418,-73.7716,11361
