,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
0,taqueria-tlaxcalli-bronx,1526.8334405529938,ZZxYVgodx2TxbYwh-0YU1w,https://s3-media4.fl.yelpcdn.com/bphoto/1476zqgP1ilbTjPrf3isRw/o.jpg,False,"{'address1': '2103 Starling Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10462', 'country': 'US', 'state': 'NY', 'display_address': ['2103 Starling Ave', 'Bronx, NY 10462']}",taqueria tlaxcalli,$,4.5,498,['delivery'],https://www.yelp.com/biz/taqueria-tlaxcalli-bronx?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mexican,40.83622,-73.85488,10462
1,havana-cafe-bronx,1189.582388628753,2f-qNpdVJl2h9L6SHYuICA,https://s3-media3.fl.yelpcdn.com/bphoto/FfT4D7TSGZSSCgsmLp_Rcg/o.jpg,False,"{'address1': '3151 E Tremont Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10461', 'country': 'US', 'state': 'NY', 'display_address': ['3151 E Tremont Ave', 'Bronx, NY 10461']}",havana cafe,$$,4.0,671,"['delivery', 'pickup']",https://www.yelp.com/biz/havana-cafe-bronx?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,cuban,40.837901,-73.834364,10461
2,patricias-bronx,943.416699946294,eQdjZQaLnjItmn9suEEeIA,https://s3-media4.fl.yelpcdn.com/bphoto/0vDV-XtrecHdUHRH470TMA/o.jpg,False,"{'address1': '1082 Morris Park Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10461', 'country': 'US', 'state': 'NY', 'display_address': ['1082 Morris Park Ave', 'Bronx, NY 10461']}",patricia's,$$,4.0,396,"['delivery', 'pickup']",https://www.yelp.com/biz/patricias-bronx?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.84912,-73.8533099,10461
3,la-masa-bronx-2,1140.2408804467245,By2Zl1imtu0SpA4IBziN1g,https://s3-media2.fl.yelpcdn.com/bphoto/u3DdTIBy91nzWA4KdVanvg/o.jpg,False,"{'address1': '1000 Morris Park Ave', 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10462', 'country': 'US', 'state': 'NY', 'display_address': ['1000 Morris Park Ave', 'Bronx, NY 10462']}",la masa,$$,4.0,335,"['delivery', 'pickup']",https://www.yelp.com/biz/la-masa-bronx-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,colombian,40.8480737080242,-73.8560921276473,10462
4,kai-sushi-asian-fusion-bronx,416.17679222381884,rN347NNwQ0hDSlbedzI9BQ,https://s3-media1.fl.yelpcdn.com/bphoto/oxO3r9z24A02zlHJHnTZYg/o.jpg,False,"{'address1': '1475 Williamsbridge Rd', 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10461', 'country': 'US', 'state': 'NY', 'display_address': ['1475 Williamsbridge Rd', 'Bronx, NY 10461']}",kai sushi asian fusion,$$,4.0,199,"['delivery', 'pickup']",https://www.yelp.com/biz/kai-sushi-asian-fusion-bronx?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,asianfusion,40.84362,-73.84565,10461
5,da-franco-and-tony-ristorante-bronx,633.6670709804762,phB6HvQyOUEZmvgg9KzRmA,https://s3-media2.fl.yelpcdn.com/bphoto/yBxQn79i4yLIMtxJhbVXKQ/o.jpg,False,"{'address1': '2815 Middletown Rd', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10461', 'country': 'US', 'state': 'NY', 'display_address': ['2815 Middletown Rd', 'Bronx, NY 10461']}",da franco & tony ristorante,$$,4.5,67,"['delivery', 'pickup']",https://www.yelp.com/biz/da-franco-and-tony-ristorante-bronx?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.843635,-73.836135,10461
6,louie-and-ernies-pizza-bronx-2,1493.304190421292,PBsVApRd0dHVjWgiGZgcRQ,https://s3-media4.fl.yelpcdn.com/bphoto/GpYZiMAR9MIlfD2zV8Pcuw/o.jpg,False,"{'address1': '1300 Crosby Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10461', 'country': 'US', 'state': 'NY', 'display_address': ['1300 Crosby Ave', 'Bronx, NY 10461']}",louie & ernie's pizza,$,4.5,226,[],https://www.yelp.com/biz/louie-and-ernies-pizza-bronx-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,40.838288,-73.828563,10461
7,antonios-trattoria-bronx,3789.729351989782,b6jOwyX4iaagw8YjXqq1sA,https://s3-media1.fl.yelpcdn.com/bphoto/pWtg3iEUg5iMl52xM14_-A/o.jpg,False,"{'address1': '2370 Belmont Ave', 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10458', 'country': 'US', 'state': 'NY', 'display_address': ['2370 Belmont Ave', 'Bronx, NY 10458']}",antonio's trattoria,$$,4.5,640,[],https://www.yelp.com/biz/antonios-trattoria-bronx?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.854131,-73.886601,10458
8,new-york-botanical-garden-bronx,3390.382914869565,HeR2gHJbP5CN69UsVCtMGg,https://s3-media4.fl.yelpcdn.com/bphoto/6TZIAsaS86nJ0Jkky5SKGA/o.jpg,False,"{'address1': '2900 Southern Blvd', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10458', 'country': 'US', 'state': 'NY', 'display_address': ['2900 Southern Blvd', 'Bronx, NY 10458']}",new york botanical garden,,4.5,577,[],https://www.yelp.com/biz/new-york-botanical-garden-bronx?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,gardens,40.8622798125418,-73.8771354681101,10458
9,georges-diner-and-cafe-bronx,1124.5054728731106,hVIejxln5ouANt854EdeYQ,https://s3-media2.fl.yelpcdn.com/bphoto/Kga1EzxCxqvMIQnr8yEaxw/o.jpg,False,"{'address1': '2369 Westchester Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10462', 'country': 'US', 'state': 'NY', 'display_address': ['2369 Westchester Ave', 'Bronx, NY 10462']}",george's diner & cafe,$,4.0,159,[],https://www.yelp.com/biz/georges-diner-and-cafe-bronx?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,diners,40.8367999,-73.84695,10462
