,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,robertas-brooklyn-2,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.705043534338, 'longitude': -73.93357123374}",(718) 417-1118,1495.9677173651821,FhXjAc6nKLf414KxYujUHw,https://s3-media4.fl.yelpcdn.com/bphoto/xRNPKIfF2Gr02zBiBl3dSA/o.jpg,False,"{'address1': '261 Moore St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['261 Moore St', 'Brooklyn, NY 11206']}",Roberta's,+17184171118,$$,4.0,2457,"['delivery', 'pickup']",https://www.yelp.com/biz/robertas-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA
1,bunna-cafe-brooklyn,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'african', 'title': 'African'}]","{'latitude': 40.705042, 'longitude': -73.928078}",(347) 295-2227,1425.7572623976332,l4fwf8VwAokv3MWT45Ab7g,https://s3-media1.fl.yelpcdn.com/bphoto/BCYaWkasc3VLv0Rz1y4Xgg/o.jpg,False,"{'address1': '1084 Flushing Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['1084 Flushing Ave', 'Brooklyn, NY 11237']}",Bunna Cafe,+13472952227,$$,4.5,472,"['delivery', 'pickup']",https://www.yelp.com/biz/bunna-cafe-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA
2,champs-diner-brooklyn,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'diners', 'title': 'Diners'}]","{'latitude': 40.7084397372605, 'longitude': -73.9407808520115}",(718) 599-2743,2092.099381726075,u_3TLN0u6LyOL01vdjFOug,https://s3-media2.fl.yelpcdn.com/bphoto/uyxt1_gzxpv1rmLm5usXvA/o.jpg,False,"{'address1': '197 Meserole St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['197 Meserole St', 'Brooklyn, NY 11206']}",Champs Diner,+17185992743,$$,4.0,1192,"['delivery', 'pickup']",https://www.yelp.com/biz/champs-diner-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA
3,little-skips-brooklyn-5,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bagels', 'title': 'Bagels'}]","{'latitude': 40.6976000922992, 'longitude': -73.931245291204}",(718) 484-0980,650.8633718700366,PFPO1ahPPXk8znXYGs48Yg,https://s3-media3.fl.yelpcdn.com/bphoto/ITKlf9UF0YAHurBJUTzXNA/o.jpg,False,"{'address1': '941 Willoughby Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['941 Willoughby Ave', 'Brooklyn, NY 11221']}",Little Skips,+17184840980,$,4.0,394,[],https://www.yelp.com/biz/little-skips-brooklyn-5?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA
4,amaranto-mexican-restaurant-brooklyn,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 40.703111, 'longitude': -73.921892}",(718) 576-6001,1322.7401312575257,95a04LtXLX6gePhPEwff9A,https://s3-media4.fl.yelpcdn.com/bphoto/VvXWECqDDvZEcrMtDfC29A/o.jpg,False,"{'address1': '887 Hart St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['887 Hart St', 'Brooklyn, NY 11237']}",Amaranto Mexican Restaurant,+17185766001,$$,4.5,275,[],https://www.yelp.com/biz/amaranto-mexican-restaurant-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA
5,archies-bar-and-pizza-brooklyn,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 40.699705, 'longitude': -73.928512}",(347) 915-2244,834.1006045791227,iSr36HYfNRXvMhjhvP77vA,https://s3-media1.fl.yelpcdn.com/bphoto/kI_zzX2WapAQIHQhe5dAIQ/o.jpg,False,"{'address1': '128 Central Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['128 Central Ave', 'Brooklyn, NY 11221']}",Archie's Bar & Pizza,+13479152244,$$,4.5,235,"['delivery', 'pickup']",https://www.yelp.com/biz/archies-bar-and-pizza-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA
6,saraghina-brooklyn,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 40.6835063, 'longitude': -73.9352006}",(718) 574-0010,1134.4151350585016,fU22eRTnKLT2C-OFJ6eUGQ,https://s3-media2.fl.yelpcdn.com/bphoto/VrWTVbhKacXF9wPUPiLUjQ/o.jpg,False,"{'address1': '435 Halsey St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['435 Halsey St', 'Brooklyn, NY 11233']}",Saraghina,+17185740010,$$,4.0,759,[],https://www.yelp.com/biz/saraghina-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA
7,the-wilky-brooklyn,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'beergardens', 'title': 'Beer Gardens'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.68802, 'longitude': -73.92735}",(718) 484-7458,473.0464521519987,-NglVrPdjl3dG-z8ZBzJyQ,https://s3-media2.fl.yelpcdn.com/bphoto/bTLoa9kjRo7pT1eDw5sRxw/o.jpg,False,"{'address1': '108 Patchen Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['108 Patchen Ave', 'Brooklyn, NY 11221']}",The Wilky,+17184847458,$$,4.5,143,[],https://www.yelp.com/biz/the-wilky-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA
8,momo-sushi-shack-brooklyn,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 40.7051406133, 'longitude': -73.933340055132}",(718) 418-6666,1500.520518657999,ZrzSDDj54aUlPqn4MQMKeQ,https://s3-media2.fl.yelpcdn.com/bphoto/1uRDOKl1bY_mDTwiY165Mg/o.jpg,False,"{'address1': '43 Bogart St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['43 Bogart St', 'Brooklyn, NY 11206']}",Momo Sushi Shack,+17184186666,$$,4.0,631,"['delivery', 'pickup']",https://www.yelp.com/biz/momo-sushi-shack-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA
9,l-antagoniste-bedford-stuyvesant,"[{'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 40.685019, 'longitude': -73.929617}",(917) 966-5300,809.5551358284206,mxDfu4bHwSXoCr3FRpyMsw,https://s3-media3.fl.yelpcdn.com/bphoto/T09D75WrCBjgBlgVnul7nQ/o.jpg,False,"{'address1': '238 Malcolm X Blvd', 'address2': '', 'address3': '', 'city': 'Bedford-Stuyvesant', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['238 Malcolm X Blvd', 'Bedford-Stuyvesant, NY 11221']}",L'Antagoniste,+19179665300,$$$,4.5,226,[],https://www.yelp.com/biz/l-antagoniste-bedford-stuyvesant?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA
