,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
0,saraghina-brooklyn,1134.4151350585014,fU22eRTnKLT2C-OFJ6eUGQ,https://s3-media2.fl.yelpcdn.com/bphoto/VrWTVbhKacXF9wPUPiLUjQ/o.jpg,False,"{'address1': '435 Halsey St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['435 Halsey St', 'Brooklyn, NY 11233']}",saraghina,$$,4.0,759,[],https://www.yelp.com/biz/saraghina-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,6/9/2009,40.6835063,-73.9352006,11233
1,the-wilky-brooklyn,473.04645215199866,-NglVrPdjl3dG-z8ZBzJyQ,https://s3-media2.fl.yelpcdn.com/bphoto/bTLoa9kjRo7pT1eDw5sRxw/o.jpg,False,"{'address1': '108 Patchen Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['108 Patchen Ave', 'Brooklyn, NY 11221']}",the wilky,$$,4.5,143,[],https://www.yelp.com/biz/the-wilky-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/8/2016,40.68802,-73.92735,11221
2,l-antagoniste-bedford-stuyvesant,809.5551358284206,mxDfu4bHwSXoCr3FRpyMsw,https://s3-media3.fl.yelpcdn.com/bphoto/T09D75WrCBjgBlgVnul7nQ/o.jpg,False,"{'address1': '238 Malcolm X Blvd', 'address2': '', 'address3': '', 'city': 'Bedford-Stuyvesant', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['238 Malcolm X Blvd', 'Bedford-Stuyvesant, NY 11221']}",l'antagoniste,$$$,4.5,226,[],https://www.yelp.com/biz/l-antagoniste-bedford-stuyvesant?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/19/2015,40.685019,-73.929617,11221
3,peaches-hothouse-brooklyn,1641.1221617990145,GA5msU6NO9rQRctPfDJCBg,https://s3-media1.fl.yelpcdn.com/bphoto/QkbXdv80-lGYeO312B5KYA/o.jpg,False,"{'address1': '415 Tompkins Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['415 Tompkins Ave', 'Brooklyn, NY 11216']}",peaches hothouse,$$,4.0,986,[],https://www.yelp.com/biz/peaches-hothouse-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/16/2010,40.6833699737169,-73.9437798410654,11216
4,brooklyn-doughnutry-brooklyn,245.87898657976976,HHN8P3LYoFkiSyF9jgyVrQ,https://s3-media2.fl.yelpcdn.com/bphoto/-BAXa3HeP2_5a0kzPN3y4w/o.jpg,False,"{'address1': '50 Malcolm X Blvd', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['50 Malcolm X Blvd', 'Brooklyn, NY 11221']}",brooklyn doughnutry,$,5.0,68,[],https://www.yelp.com/biz/brooklyn-doughnutry-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,6/16/2017,40.6924050190985,-73.9311097345756,11221
5,peaches-brooklyn,1278.989706607697,OYKNRBU-unLF-r0bRZwY3A,https://s3-media2.fl.yelpcdn.com/bphoto/rovmh0PuWko48I1WtibarA/o.jpg,False,"{'address1': '393 Lewis Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['393 Lewis Ave', 'Brooklyn, NY 11233']}",peaches,$$,3.5,939,[],https://www.yelp.com/biz/peaches-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/4/2008,40.6818070319111,-73.9346463688382,11233
6,cup-of-brooklyn-brooklyn,560.8195665145956,QxiSoPQeiiy_tx3vkRJYwg,https://s3-media1.fl.yelpcdn.com/bphoto/NwKSw9HeVwgPNtKBKr94Cw/o.jpg,False,"{'address1': '1071B Gates Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1071B Gates Ave', 'Brooklyn, NY 11221']}",cup of brooklyn,$$,4.5,87,[],https://www.yelp.com/biz/cup-of-brooklyn-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/10/2016,40.6894922335672,-73.9226088300347,11221
7,toad-style-bedford-stuyvesant,726.5577341853143,jE5_yPypanQLdYe7-f__dA,https://s3-media3.fl.yelpcdn.com/bphoto/ZdqQbcpduUHdDRBUCIWe-g/o.jpg,False,"{'address1': '93 Ralph Ave', 'address2': '', 'address3': '', 'city': 'Bedford-Stuyvesant', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['93 Ralph Ave', 'Bedford-Stuyvesant, NY 11221']}",toad style,$$,4.0,291,"['delivery', 'pickup']",https://www.yelp.com/biz/toad-style-bedford-stuyvesant?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/31/2015,40.68688,-73.92322,11221
8,grandchamps-kitchen-and-market-bedford-stuyvesant,856.7811164941113,-ic13XJ9ekpEfshQFPKL4A,https://s3-media2.fl.yelpcdn.com/bphoto/NqJXThJzKjY5kGGfFoJbgg/o.jpg,False,"{'address1': '197 Patchen Ave', 'address2': '', 'address3': '', 'city': 'Bedford-Stuyvesant', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['197 Patchen Ave', 'Bedford-Stuyvesant, NY 11233']}",grandchamps kitchen & market,$$,4.5,178,['pickup'],https://www.yelp.com/biz/grandchamps-kitchen-and-market-bedford-stuyvesant?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,6/25/2015,40.684661321153,-73.9262324662708,11233
9,ltauha-restaurant-ridgewood-3,1999.8749745480213,Py_oBQpNR8kMI3GbH-71Yg,https://s3-media4.fl.yelpcdn.com/bphoto/8YuBrogxDgdGn0EGLmqC1Q/o.jpg,False,"{'address1': '55-50 Myrtle Ave', 'address2': None, 'address3': '', 'city': 'Ridgewood', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['55-50 Myrtle Ave', 'Ridgewood, NY 11385']}",ltauha restaurant,$$,4.5,322,[],https://www.yelp.com/biz/ltauha-restaurant-ridgewood-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/9/2014,40.6998889,-73.9067463,11385
