,alias,category,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
0,best-bagel-and-coffee-new-york,bagels,375.54946215414793,j1S3NUrkB3BVT49n_e76NQ,https://s3-media2.fl.yelpcdn.com/bphoto/fZzpV8mvVVTd7uV19cZ7sg/o.jpg,False,"{'address1': '225 W 35th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['225 W 35th St', 'New York, NY 10001']}",best bagel & coffee,$,4.5,2430,[],https://www.yelp.com/biz/best-bagel-and-coffee-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/5/2010,40.7522683,-73.9910861,10001
1,ny-pizza-suprema-new-york,pizza,92.11104524624105,-9NO2IDCJMyNGZMAQ1-VQw,https://s3-media4.fl.yelpcdn.com/bphoto/EqbDXneMuQP6pw6GemVdQA/o.jpg,False,"{'address1': '413 8th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['413 8th Ave', 'New York, NY 10001']}",ny pizza suprema,$,4.0,1597,"['delivery', 'pickup']",https://www.yelp.com/biz/ny-pizza-suprema-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,12/8/2005,40.7502059936523,-73.9953231811523,10001
2,the-high-line-new-york,parks,918.3788693147862,JION8hhg7q6zyayHYwhxIw,https://s3-media1.fl.yelpcdn.com/bphoto/WKAZqJzT7pgGa1-ka-OaUA/o.jpg,False,"{'address1': '820 Washington St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['820 Washington St', 'New York, NY 10014']}",the high line,,4.5,2173,[],https://www.yelp.com/biz/the-high-line-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,6/8/2009,40.7479831752801,-74.0048906107511,10014
3,doughnut-plant-new-york-2,donuts,654.8023832263174,XskangHFq3JD9klJFuGH8w,https://s3-media4.fl.yelpcdn.com/bphoto/_NU6Aty0PdFOoZ4Dg48rFA/o.jpg,False,"{'address1': '220 W 23rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['220 W 23rd St', 'New York, NY 10011']}",doughnut plant,$$,4.0,2337,[],https://www.yelp.com/biz/doughnut-plant-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/13/2011,40.7444886,-73.9969095,10011
4,friedmans-new-york-59,newamerican,356.22555568659743,cCesIqo-LQt0cRlZAnrAZQ,https://s3-media2.fl.yelpcdn.com/bphoto/jNP9xtlJvkHosaF8o09xmg/o.jpg,False,"{'address1': '132 W 31st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['132 W 31st St', 'New York, NY 10001']}",friedman's,$$,4.0,1875,"['delivery', 'pickup']",https://www.yelp.com/biz/friedmans-new-york-59?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,9/13/2013,40.748297,-73.990649,10001
5,izakaya-mew-new-york-3,tapas,672.2489338905882,klAhw3xLQi9GF1tf_HnS7w,https://s3-media3.fl.yelpcdn.com/bphoto/pQ7i8HA6ivMmo5HHw11DNg/o.jpg,False,"{'address1': '53 W 35th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['53 W 35th St', 'New York, NY 10001']}",izakaya mew,$$,4.0,1861,"['delivery', 'pickup']",https://www.yelp.com/biz/izakaya-mew-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/15/2013,40.7501853096499,-73.9863203465939,10001
6,keens-steakhouse-new-york,steak,664.2686873519127,pQuZDnefX038xurT1BhDXA,https://s3-media1.fl.yelpcdn.com/bphoto/OJcAKt_4KVClnNd69-ukRQ/o.jpg,False,"{'address1': '72 W 36th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['72 W 36th St', 'New York, NY 10018']}",keens steakhouse,$$$$,4.0,2199,[],https://www.yelp.com/biz/keens-steakhouse-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/26/2005,40.75071,-73.98652,10018
7,eataly-new-york,italian,965.7842629392196,a0IET3_yCFcO36OqGSsisg,https://s3-media2.fl.yelpcdn.com/bphoto/9Xzihhf_KcZieyru9TX-pg/o.jpg,False,"{'address1': '200 5th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['200 5th Ave', 'New York, NY 10010']}",eataly,$$,4.0,5049,[],https://www.yelp.com/biz/eataly-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/31/2010,40.74195877796,-73.989716662832,10010
8,grace-street-new-york,coffee,690.7763608650255,MKYhiSeXjahxh9O4Gqnimw,https://s3-media3.fl.yelpcdn.com/bphoto/-Fa8jLXSUfiT2p4LmHTNEg/o.jpg,False,"{'address1': '17 W 32nd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['17 W 32nd St', 'New York, NY 10001']}",grace street,$$,4.0,1777,[],https://www.yelp.com/biz/grace-street-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/27/2012,40.7478576793883,-73.9865590631962,10001
9,woorijip-authentic-korean-food-new-york,korean,711.7145846122713,ogCC-lJJYnwXDvKGmKZ6Sw,https://s3-media4.fl.yelpcdn.com/bphoto/NZcGFutBjf1frDkslh6urw/o.jpg,False,"{'address1': '12 W 32nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['12 W 32nd St', 'New York, NY 10001']}",woorijip authentic korean food,$,4.0,2438,[],https://www.yelp.com/biz/woorijip-authentic-korean-food-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,12/13/2005,40.74747,-73.98648,10001
