,category_asianfusion,category_bagels,category_bakeries,category_bars,category_bbq,category_breakfast_brunch,category_bubbletea,category_burgers,category_cafes,category_chicken_wings,category_chinese,category_cocktailbars,category_coffee,category_delis,category_desserts,category_diners,category_divebars,category_dominican,category_donuts,category_foodstands,category_foodtrucks,category_french,category_grocery,category_hotdogs,category_icecream,category_indpak,category_italian,category_japanese,category_juicebars,category_korean,category_latin,category_lounges,category_mediterranean,category_mexican,category_mideastern,category_musicvenues,category_newamerican,category_parks,category_pizza,category_polish,category_pubs,category_ramen,category_restaurants,category_salad,category_sandwiches,category_seafood,category_spanish,category_streetvendors,category_sushi,category_tacos,category_thai,category_tradamerican,category_vegan,category_vietnamese,category_wine_bars,rent,%increase_rent
2011-11-01,2,4,23,36,3,6,0,8,7,0,38,5,30,23,5,8,11,3,8,4,1,3,10,5,1,1,9,10,0,1,15,6,0,42,1,2,14,8,40,5,11,1,10,2,3,4,1,1,3,0,9,7,2,1,3,2250,
2011-12-01,2,4,23,39,3,7,0,8,8,0,40,5,30,24,6,8,11,3,8,4,1,3,10,5,1,1,9,10,0,1,16,6,0,42,1,2,14,8,41,5,11,1,11,2,3,4,3,1,3,0,9,7,2,1,3,2400,0.06666666666666665
2012-01-01,2,4,23,40,3,7,0,8,8,1,41,5,31,25,6,8,11,3,8,4,1,3,10,5,1,2,9,11,0,1,16,6,0,43,1,2,14,8,41,5,11,1,11,2,3,4,3,1,3,0,9,8,2,1,3,2600,0.08333333333333326
2012-02-01,2,4,23,40,3,7,0,8,8,1,41,5,32,25,6,8,11,3,8,4,1,3,10,5,1,2,9,11,0,1,16,6,0,43,1,2,14,8,41,5,11,1,11,2,3,4,4,1,3,0,9,8,2,1,3,2224,-0.14442307692307688
2012-03-01,2,4,23,42,3,7,0,8,8,1,41,5,32,25,6,8,11,3,8,4,1,3,10,5,1,2,9,11,0,1,16,6,0,43,1,2,14,8,41,5,11,1,13,2,3,4,4,1,3,0,9,8,2,1,3,2400,0.078894133513149
2012-04-01,2,4,24,44,3,7,0,8,8,1,42,5,32,25,6,8,11,3,8,4,1,3,10,5,1,2,9,11,0,1,16,7,0,43,1,2,14,9,41,5,11,1,14,2,3,4,4,1,3,0,9,8,2,1,3,2600,0.08333333333333326
2012-05-01,2,4,24,46,3,7,0,8,8,1,42,5,32,25,6,8,11,3,8,4,1,3,10,5,1,2,9,11,0,1,16,7,0,43,1,2,15,9,41,5,11,1,14,2,4,4,4,3,3,0,10,8,2,1,3,2650,0.019230769230769162
2012-06-01,2,4,25,46,3,7,0,8,8,1,43,5,32,25,6,8,11,3,8,4,1,3,10,5,2,2,9,11,0,1,17,7,1,43,1,2,17,9,41,5,11,1,14,2,4,4,4,3,3,0,10,8,2,1,3,2600,-0.018867924528301883
2012-07-01,2,4,25,47,3,7,0,9,9,1,43,5,32,27,6,8,11,3,8,4,1,3,10,5,2,2,11,11,0,1,17,7,1,44,1,4,17,9,41,5,11,1,14,2,4,4,4,5,3,0,10,9,2,1,3,2600,0.0
2012-08-01,2,4,25,48,3,7,0,9,9,1,43,5,32,28,6,8,11,3,8,4,1,3,10,5,3,2,11,11,0,1,17,7,1,45,1,4,17,9,41,5,11,1,14,2,4,4,4,6,3,0,10,9,2,1,3,2450,-0.05769230769230771
2012-09-01,2,4,26,49,3,7,0,9,9,1,43,5,32,28,6,9,11,3,8,4,1,3,10,5,3,2,11,11,0,1,17,8,2,45,1,4,18,10,42,5,11,1,14,2,4,4,4,6,3,0,10,9,2,1,3,2450,0.0
2012-10-01,2,4,26,50,3,7,0,10,9,1,43,5,32,28,7,9,11,3,8,4,1,3,10,5,3,2,13,12,1,1,17,8,2,45,1,4,18,10,43,5,11,1,14,2,4,4,4,6,3,0,10,9,2,1,3,2450,0.0
2012-11-01,2,4,27,50,3,7,0,10,9,1,44,5,32,28,7,9,11,3,8,4,1,3,10,6,3,2,14,12,1,1,17,8,2,46,1,4,18,10,43,5,11,1,15,2,4,4,4,6,3,0,10,9,2,1,3,2600,0.061224489795918435
2012-12-01,2,4,28,50,3,7,0,10,9,1,44,6,32,28,8,9,11,3,8,4,1,4,10,6,3,2,14,12,1,1,17,8,2,48,1,5,18,10,43,5,11,1,15,2,4,4,4,6,3,0,10,10,2,1,3,2525,-0.028846153846153855
2013-01-01,2,4,29,50,3,7,0,10,9,1,44,7,33,28,8,9,11,3,8,4,1,4,10,7,3,2,14,13,1,1,17,8,2,48,2,5,18,10,43,5,11,1,15,2,4,4,5,6,3,0,10,10,2,2,3,2583,0.02297029702970299
2013-02-01,2,4,30,50,3,7,0,10,10,1,44,7,33,28,8,9,11,3,8,4,1,4,10,8,3,2,14,13,1,1,18,8,2,48,2,5,18,10,43,5,11,1,15,2,4,4,5,6,3,0,10,10,2,2,3,2538,-0.017421602787456414
2013-03-01,2,4,31,51,3,7,0,10,10,2,45,7,34,28,8,9,11,3,8,4,2,4,11,8,3,2,14,13,2,1,18,8,2,48,2,5,19,10,43,5,11,1,15,2,4,4,5,6,3,0,10,10,2,2,3,2400,-0.05437352245862881
2013-04-01,2,4,31,52,3,7,0,10,10,2,45,7,34,28,9,9,12,3,8,4,2,4,12,9,3,3,14,13,2,1,18,8,2,49,2,5,19,10,43,5,12,1,16,2,4,5,5,6,3,0,10,10,2,2,3,2300,-0.04166666666666663
2013-05-01,2,4,31,53,3,7,0,10,10,3,45,7,34,28,9,9,12,3,8,4,2,4,12,9,3,4,14,13,3,1,18,8,2,49,2,5,21,10,43,5,12,1,16,2,5,6,5,6,3,0,11,10,2,3,3,2500,0.08695652173913038
2013-06-01,2,5,33,53,3,7,0,10,11,3,46,7,36,28,9,9,13,3,8,4,2,4,12,9,4,4,14,13,3,1,18,8,2,49,2,5,21,10,45,5,12,1,16,2,5,6,6,6,3,0,11,10,3,3,3,2665,0.06600000000000006
2013-07-01,2,5,33,54,3,7,0,10,11,3,46,7,37,29,9,9,13,3,9,4,2,4,12,9,4,4,14,13,4,1,18,8,2,50,2,5,21,10,47,5,12,1,16,2,6,6,6,6,3,0,11,10,4,4,3,2625,-0.015009380863039379
2013-08-01,2,5,34,56,3,7,0,10,11,3,46,7,37,29,9,9,13,3,9,4,2,4,12,9,4,5,14,14,5,1,18,8,2,50,2,5,21,10,47,5,12,1,16,2,6,6,6,6,3,0,11,10,4,4,3,2595,-0.011428571428571455
2013-09-01,2,5,34,59,3,7,0,10,11,3,46,8,37,30,9,9,13,3,9,5,2,4,12,9,4,5,14,14,5,1,19,8,2,51,2,5,21,10,48,5,12,1,16,2,6,6,6,6,3,0,11,10,4,4,3,2575,-0.0077071290944122905
2013-10-01,2,5,36,60,3,7,0,10,12,3,46,8,39,30,9,9,13,3,9,5,2,4,12,9,4,5,14,14,5,2,19,8,2,51,2,5,21,10,48,5,12,1,16,2,7,6,7,6,3,0,11,10,4,4,3,2600,0.009708737864077666
