,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,oldest_review,latitude,longitude,zipcode
0,ricardo-steak-house-new-york,381.659318730305,CfWe636m2CAUg4FAdl_zVQ,https://s3-media4.fl.yelpcdn.com/bphoto/7NLdt4rCSbcxisE-kYFUYg/o.jpg,False,"{'address1': '2145 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['2145 2nd Ave', 'New York, NY 10029']}",ricardo steak house,$$$,4.0,830,[],https://www.yelp.com/biz/ricardo-steak-house-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,steak,1/29/2008,40.7934520370731,-73.940475679068,10029
1,cascalote-latin-bistro-new-york,354.75409184546675,BxnrBKdLwdaEXyq97uxgKg,https://s3-media1.fl.yelpcdn.com/bphoto/LTSC5Du2J_aQ2d43iZqTqw/o.jpg,False,"{'address1': '2126 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['2126 2nd Ave', 'New York, NY 10029']}",cascalote latin bistro,$$,4.5,295,"['pickup', 'delivery']",https://www.yelp.com/biz/cascalote-latin-bistro-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,latin,7/25/2013,40.79271,-73.94069,10029
2,dear-mama-coffee-new-york,356.5692917749454,5o-jorn07AInbmlNlYGC0g,https://s3-media4.fl.yelpcdn.com/bphoto/rvAPQoGl6ixvnIYiFCB1kw/o.jpg,False,"{'address1': '308 E 109th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['308 E 109th St', 'New York, NY 10029']}",dear mama coffee,$,4.5,189,[],https://www.yelp.com/biz/dear-mama-coffee-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,coffee,7/4/2016,40.79219,-73.94068,10029
3,cafe-ollin-new-york-6,471.4917021989173,k3iUNUGsl-xpQ_EsOfTadA,https://s3-media3.fl.yelpcdn.com/bphoto/cQRFsqTQQFGf2Jw1aepCnw/o.jpg,False,"{'address1': '339 E 108th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['339 E 108th St', 'New York, NY 10029']}",cafe ollin,$$,4.0,367,"['pickup', 'delivery']",https://www.yelp.com/biz/cafe-ollin-new-york-6?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mexican,8/11/2008,40.7912288,-73.9395386,10029
4,earls-beer-and-cheese-new-york,810.9070461111548,DpZBA0-f7Um9lvnp1zZM2A,https://s3-media3.fl.yelpcdn.com/bphoto/famNEa6UXueVsF51-9nDRg/o.jpg,False,"{'address1': '1259 Park Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1259 Park Ave', 'New York, NY 10029']}",earl's beer & cheese,$$,4.0,551,[],https://www.yelp.com/biz/earls-beer-and-cheese-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bars,1/7/2011,40.78729,-73.95152,10029
5,tastings-social-presents-mountain-bird-new-york-3,343.1401774803113,NMCUMp39CPenji-UbFnuCA,https://s3-media1.fl.yelpcdn.com/bphoto/oIMSevizUtYe7LHRWZhj9Q/o.jpg,False,"{'address1': '251 E 110th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['251 E 110th St', 'New York, NY 10029']}",tastings social presents mountain bird,$$$,4.5,128,['restaurant_reservation'],https://www.yelp.com/biz/tastings-social-presents-mountain-bird-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,french,5/5/2015,40.793503292003,-73.9409723342072,10029
6,la-shuk-new-york,545.2844102291307,87WfLan3_7K_OYPYd5zUIA,https://s3-media2.fl.yelpcdn.com/bphoto/SgUnLGKdgR9jGUij6RW7cQ/o.jpg,False,"{'address1': '1569 Lexington Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1569 Lexington Ave', 'New York, NY 10029']}",la shuk,$$,4.5,298,"['pickup', 'delivery']",https://www.yelp.com/biz/la-shuk-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,moroccan,6/8/2015,40.78863,-73.94875,10029
7,the-conservatory-garden-new-york,579.4749922112819,B3ptSVx-Ck8T1wcmwZXgwg,https://s3-media2.fl.yelpcdn.com/bphoto/U4WrjFkt0abjcpQgd0MSIA/o.jpg,False,"{'address1': 'E 105th St And 5th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['E 105th St And 5th Ave', 'New York, NY 10021']}",the conservatory garden,,5.0,116,[],https://www.yelp.com/biz/the-conservatory-garden-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,parks,5/1/2006,40.7936102896929,-73.9515998214483,10021
8,amor-cubano-new-york,305.4118693758854,UKDOoYu_g1HYBvs5TpdG6w,https://s3-media2.fl.yelpcdn.com/bphoto/k9tUealxbpvgWedq2HHBJA/o.jpg,False,"{'address1': '2018 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['2018 3rd Ave', 'New York, NY 10029']}",amor cubano,$$,4.0,415,"['pickup', 'delivery']",https://www.yelp.com/biz/amor-cubano-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,cuban,12/19/2007,40.794776,-73.942703,10029
9,malii-new-york,381.39510229660476,I4FWrwXDC91lsfQLXYSeXA,https://s3-media2.fl.yelpcdn.com/bphoto/416OtbEGEFpeEAJn2SVGIA/o.jpg,False,"{'address1': '2028 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['2028 2nd Ave', 'New York, NY 10029']}",malii,$$,4.5,188,"['pickup', 'delivery']",https://www.yelp.com/biz/malii-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,thai,9/27/2015,40.789432,-73.942962,10029
