,alias,category,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
0,peter-pan-donut-and-pastry-shop-brooklyn-2,bakeries,191.41574413653007,O0xFECgTDf1rbZzW9qUULQ,https://s3-media2.fl.yelpcdn.com/bphoto/ogfDjUY7VeNhB091V1KiWA/o.jpg,False,"{'address1': '727 Manhattan Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['727 Manhattan Ave', 'Brooklyn, NY 11222']}",peter pan donut & pastry shop,$,4.5,1153,[],https://www.yelp.com/biz/peter-pan-donut-and-pastry-shop-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,9/29/2006,40.726086,-73.952308,11222
1,five-leaves-brooklyn-2,newamerican,398.8653747672524,1Q3oaJahyGRogDWgpo7PIw,https://s3-media3.fl.yelpcdn.com/bphoto/TUOQl8wjfftKK7c54eYSwA/o.jpg,False,"{'address1': '18 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['18 Bedford Ave', 'Brooklyn, NY 11222']}",five leaves,$$,4.0,1476,[],https://www.yelp.com/biz/five-leaves-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,9/19/2008,40.72371830945,-73.95159863632,11222
2,paulie-gees-brooklyn,pizza,717.5971030561593,pGr5QuQU7Ur5GHLvXbT8bw,https://s3-media2.fl.yelpcdn.com/bphoto/ix3Sj74XY30BdjNqF_zREA/o.jpg,False,"{'address1': '60 Greenpoint Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['60 Greenpoint Ave', 'Brooklyn, NY 11222']}",paulie gee's,$$,4.5,1107,[],https://www.yelp.com/biz/paulie-gees-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/11/2010,40.72955,-73.95857,11222
3,karczma-brooklyn,polish,488.71067434599996,a6SzfZ2F-uELmymusQVMBg,https://s3-media3.fl.yelpcdn.com/bphoto/Eq1HKex42BFN61jBgTbb0g/o.jpg,False,"{'address1': '136 Greenpoint Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['136 Greenpoint Ave', 'Brooklyn, NY 11222']}",karczma,$$,4.5,488,[],https://www.yelp.com/biz/karczma-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/1/2008,40.729977,-73.955128,11222
4,krolewskie-jadlo-brooklyn,polish,228.3819201641887,_iJChYU1yfsvqRv9e5Ic0A,https://s3-media3.fl.yelpcdn.com/bphoto/yPW9wVaYXXhZ-5ZZTADkOg/o.jpg,False,"{'address1': '694 Manhattan Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['694 Manhattan Ave', 'Brooklyn, NY 11222']}",krolewskie jadlo,$$,4.0,375,"['delivery', 'pickup']",https://www.yelp.com/biz/krolewskie-jadlo-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/10/2006,40.72532,-73.95153,11222
5,tørst-brooklyn,beerbar,426.46934293687895,TDyu1-6XF7r1jc13j7nDNA,https://s3-media4.fl.yelpcdn.com/bphoto/cg3z8da4KlD6CeVs2-JSqQ/o.jpg,False,"{'address1': '615 Manhattan Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['615 Manhattan Ave', 'Brooklyn, NY 11222']}",tørst,$$,4.5,361,[],https://www.yelp.com/biz/t%C3%B8rst-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/8/2013,40.7233949,-73.950856,11222
6,cafe-mogador-brooklyn,moroccan,1147.7616832198455,jAaVnUKLITkuhzwXIe0vLQ,https://s3-media2.fl.yelpcdn.com/bphoto/vKOnSpZPeLG2Nk7URi1CAw/o.jpg,False,"{'address1': '133 Wythe Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['133 Wythe Ave', 'Brooklyn, NY 11211']}",cafe mogador,$$,4.5,990,['delivery'],https://www.yelp.com/biz/cafe-mogador-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/29/2012,40.719747,-73.959993,11211
7,williamsburg-smorgasburg-saturday-brooklyn,foodstands,1194.5191672064282,gUJ6pHYd_fp2Ypq377P_vA,https://s3-media2.fl.yelpcdn.com/bphoto/6Y2bp0iTScdX12PBmKscuw/o.jpg,False,"{'address1': '90 Kent Ave', 'address2': '', 'address3': 'East River State Park', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['90 Kent Ave', 'East River State Park', 'Brooklyn, NY 11211']}",williamsburg smorgasburg - saturday,$$,4.5,1018,[],https://www.yelp.com/biz/williamsburg-smorgasburg-saturday-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/21/2011,40.721021,-73.962177,11211
8,sweet-chick-brooklyn,southern,1135.1659819730362,4KHjnRNvrkKHchEznhlnSA,https://s3-media3.fl.yelpcdn.com/bphoto/-B7HnMZQQh1MemYmypaJ0Q/o.jpg,False,"{'address1': '164 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['164 Bedford Ave', 'Brooklyn, NY 11211']}",sweet chick,$$,4.0,1696,[],https://www.yelp.com/biz/sweet-chick-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/18/2013,40.718423,-73.9574279,11211
9,moes-doughs-donut-shop-brooklyn,donuts,367.49577474197935,AfZPx4piTmg9dqZpYgYTgg,https://s3-media2.fl.yelpcdn.com/bphoto/lgwVIUV3H3OmrH2crrPb1Q/o.jpg,False,"{'address1': '126 Nassau Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['126 Nassau Ave', 'Brooklyn, NY 11222']}",moe's doughs donut shop,$,4.5,247,[],https://www.yelp.com/biz/moes-doughs-donut-shop-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/9/2014,40.7243431,-73.9484718,11222
10,amber-steak-house-brooklyn-2,steak,334.91972743829,l2ROlwwJcTPmi_2l3A9oyQ,https://s3-media1.fl.yelpcdn.com/bphoto/jtub6CkWH0pU4iIKGQqMPQ/o.jpg,False,"{'address1': '119 Nassau Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['119 Nassau Ave', 'Brooklyn, NY 11222']}",amber steak house,$$$,4.5,252,[],https://www.yelp.com/biz/amber-steak-house-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,6/2/2010,40.724464173096,-73.949018043155,11222
11,el-born-brooklyn,spanish,324.1753304170817,gvMYV5E3HyzhN_MYFIMGzg,https://s3-media1.fl.yelpcdn.com/bphoto/hwmWq1Dr--Toe8dGeNTatw/o.jpg,False,"{'address1': '651 Manhattan Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['651 Manhattan Ave', 'Brooklyn, NY 11222']}",el born,$$,4.5,240,"['delivery', 'pickup']",https://www.yelp.com/biz/el-born-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/2/2014,40.7243479163883,-73.9512226101037,11222
12,le-fond-brooklyn,french,158.6305617637079,IVjpsmmsgc42k9K2RZR3Qg,https://s3-media2.fl.yelpcdn.com/bphoto/knVHhL_SnKysa6979aaPHQ/o.jpg,False,"{'address1': '105 Norman Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['105 Norman Ave', 'Brooklyn, NY 11222']}",le fond,$$,4.5,128,[],https://www.yelp.com/biz/le-fond-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,9/26/2014,40.7258415222168,-73.9511032104492,11222
13,zenkichi-brooklyn,japanese,1258.8344999096078,DpZ7Xaub8Lhpg7VJdHaPpg,https://s3-media2.fl.yelpcdn.com/bphoto/4UsX8hPL4qahrqSEKGD4Pg/o.jpg,False,"{'address1': '77 N 6th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['77 N 6th St', 'Brooklyn, NY 11249']}",zenkichi,$$$,4.0,904,[],https://www.yelp.com/biz/zenkichi-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,11/5/2006,40.7189722,-73.9608301,11249
14,greenpoint-fish-and-lobster-brooklyn,seafood,366.4715993219973,sEuLm5fQgWkkiYBt6OphWQ,https://s3-media2.fl.yelpcdn.com/bphoto/1QN2SP9p8GAzbfI12J9CBQ/o.jpg,False,"{'address1': '114 Nassau Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['114 Nassau Ave', 'Brooklyn, NY 11222']}",greenpoint fish & lobster,$$,4.0,291,[],https://www.yelp.com/biz/greenpoint-fish-and-lobster-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/12/2014,40.724128,-73.9491199,11222
15,van-leeuwen-artisan-ice-cream-brooklyn,coffee,403.7653985911667,mZmUKs7MlzBo1vuKC2E_Yg,https://s3-media2.fl.yelpcdn.com/bphoto/PPSaeAjx9t7wZtsf-OSoQQ/o.jpg,False,"{'address1': '620 Manhattan Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['620 Manhattan Ave', 'Brooklyn, NY 11222']}",van leeuwen artisan ice cream,$$,4.0,307,[],https://www.yelp.com/biz/van-leeuwen-artisan-ice-cream-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/1/2010,40.72358,-73.95053,11222
16,calexico-brooklyn-6,mexican,344.0365116009146,3DNtS1_3gobrYQBAwDx4DA,https://s3-media2.fl.yelpcdn.com/bphoto/5unV65aoN7hMq0i9XM9Taw/o.jpg,False,"{'address1': '645 Manhattan Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['645 Manhattan Ave', 'Brooklyn, NY 11222']}",calexico,$$,3.5,650,"['delivery', 'pickup']",https://www.yelp.com/biz/calexico-brooklyn-6?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,12/31/2010,40.72416,-73.95132,11222
17,brooklyn-bowl-brooklyn,bowling,832.9791549841208,wQFq2ZbUG40H1KfXTjgkBw,https://s3-media4.fl.yelpcdn.com/bphoto/cw8FdbF-QyM6XxCFMQCIIw/o.jpg,False,"{'address1': '61 Wythe Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['61 Wythe Ave', 'Brooklyn, NY 11249']}",brooklyn bowl,$$,3.5,1158,[],https://www.yelp.com/biz/brooklyn-bowl-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/28/2009,40.7218937792125,-73.9575488529698,11249
18,café-grumpy-brooklyn-3,coffee,218.92864982237103,YjF9sx5aP-ILFHcliG4MnQ,https://s3-media3.fl.yelpcdn.com/bphoto/jK1oFi7zpi5phSkJUBi44Q/o.jpg,False,"{'address1': '193 Meserole Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['193 Meserole Ave', 'Brooklyn, NY 11222']}",café grumpy,$$,4.0,252,[],https://www.yelp.com/biz/caf%C3%A9-grumpy-brooklyn-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/10/2006,40.728641,-73.948715,11222
19,scalino-brooklyn-2,italian,315.75158393288933,ry0nAQiUn8bpNAruY_5wfw,https://s3-media1.fl.yelpcdn.com/bphoto/-6YyeTWF3oPbkHzRGUHwLA/o.jpg,False,"{'address1': '659 Manhattan Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['659 Manhattan Ave', 'Brooklyn, NY 11222']}",scalino,$$,4.5,185,"['delivery', 'pickup']",https://www.yelp.com/biz/scalino-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/23/2014,40.7244699,-73.95151,11222
20,screamers-pizzeria-brooklyn-2,pizza,408.5169726853061,ZQJar03Q1n0oWgGA3ip3nw,https://s3-media3.fl.yelpcdn.com/bphoto/3p0VcJN4TT0kYwtop_7OTw/o.jpg,False,"{'address1': '620 Manhattan Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['620 Manhattan Ave', 'Brooklyn, NY 11222']}",screamer's pizzeria,$,4.0,244,"['delivery', 'pickup']",https://www.yelp.com/biz/screamers-pizzeria-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,6/13/2016,40.7235518,-73.95065,11222
21,the-meatball-shop-brooklyn,tradamerican,1157.634647882118,xJm9JJLooQ1Sc7ncM2-JJA,https://s3-media2.fl.yelpcdn.com/bphoto/Om5CDNjWueGnKfrZ_iHLsg/o.jpg,False,"{'address1': '170 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['170 Bedford Ave', 'Brooklyn, NY 11249']}",the meatball shop,$$,4.0,1169,"['delivery', 'pickup']",https://www.yelp.com/biz/the-meatball-shop-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/11/2011,40.7182749,-73.9576213,11249
