,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
0,maxines-on-the-boulevard-saint-albans,270.14647791560714,kqTitCG90ORnKZq45vHS1g,https://s3-media2.fl.yelpcdn.com/bphoto/rWcOsDOqDpXhPlUibzQeEA/o.jpg,False,"{'address1': '11333 Farmers Blvd', 'address2': '', 'address3': '', 'city': 'Saint Albans', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['11333 Farmers Blvd', 'Saint Albans, NY 11412']}",maxine's on the boulevard,$$,3.5,51,"['delivery', 'pickup']",https://www.yelp.com/biz/maxines-on-the-boulevard-saint-albans?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,fishnchips,40.69852,-73.762215,11412
1,the-smokehouse-jamaica,598.5529019092081,r9H39aYuNSLyZ9criN3zhg,https://s3-media1.fl.yelpcdn.com/bphoto/2aG1K4TUgycQzWrcwSpxiA/o.jpg,False,"{'address1': '189-33 Linden Blvd', 'address2': '', 'address3': '', 'city': 'Jamaica', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['189-33 Linden Blvd', 'Jamaica, NY 11412']}",the smokehouse,$,3.5,66,[],https://www.yelp.com/biz/the-smokehouse-jamaica?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,caribbean,40.6921869,-73.761322,11412
2,chris-and-sons-roti-shop-and-bakery-jamaica,1018.1387491860988,DFxqKgVoJxYmKLIBxjpJLA,https://s3-media1.fl.yelpcdn.com/bphoto/kZDAXsfRuTB2n17O2JoMPQ/o.jpg,False,"{'address1': '198-21 Hollis Ave', 'address2': None, 'address3': '', 'city': 'Jamaica', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['198-21 Hollis Ave', 'Jamaica, NY 11412']}",chris & sons roti shop and bakery,$,4.5,26,"['delivery', 'pickup']",https://www.yelp.com/biz/chris-and-sons-roti-shop-and-bakery-jamaica?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,trinidadian,40.706513,-73.758912,11412
3,yardies-jerk-st-albans,619.9597154525717,y9ftmfNAGhovak-jSVCh_w,https://s3-media1.fl.yelpcdn.com/bphoto/j7JVEeuooPQU-wxVGlYTxg/o.jpg,False,"{'address1': '198-18 Linden Blvd', 'address2': '', 'address3': '', 'city': 'St. Albans', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['198-18 Linden Blvd', 'St. Albans, NY 11412']}",yardies jerk,$$,3.0,66,['pickup'],https://www.yelp.com/biz/yardies-jerk-st-albans?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,caribbean,40.6939597882157,-73.7535501576339,11412
4,fishnet-saint-albans,573.7511782303746,Vht36IGjWDL7dTSHOMs5kg,https://s3-media4.fl.yelpcdn.com/bphoto/OyIyEZVvCQEHkre5kdDK3A/o.jpg,False,"{'address1': '19009 Linden Blvd', 'address2': '', 'address3': '', 'city': 'Saint Albans', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['19009 Linden Blvd', 'Saint Albans, NY 11412']}",fishnet,$,4.0,14,[],https://www.yelp.com/biz/fishnet-saint-albans?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,seafood,40.692203,-73.7609224,11412
5,sea-level-sea-and-soul-jamaica,242.20307283847703,7U2GYyQAFGFQ8bK6PUzlOg,https://s3-media4.fl.yelpcdn.com/bphoto/O6GZyN9RA9gyrPB1Wr277A/o.jpg,False,"{'address1': '114-32 Farmers Blvd', 'address2': None, 'address3': '', 'city': 'Jamaica', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['114-32 Farmers Blvd', 'Jamaica, NY 11412']}",sea level sea and soul,,4.5,8,[],https://www.yelp.com/biz/sea-level-sea-and-soul-jamaica?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,soulfood,40.69714,-73.76223,11412
6,seamorhen-st-albans,902.4900598167084,dMCyv-D4I3LZmZn_ipyrlw,https://s3-media4.fl.yelpcdn.com/bphoto/SWrtbV5mtW3zWm6C57_tiA/o.jpg,False,"{'address1': '19007 109th Rd', 'address2': None, 'address3': None, 'city': 'St Albans', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['19007 109th Rd', 'St Albans, NY 11412']}",seamorhen,$$,4.0,20,[],https://www.yelp.com/biz/seamorhen-st-albans?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,chickenshop,40.7035465,-73.7663864,11412
7,mr-takeout-nyc-jamaica,1019.2498396059906,TuCdZNykUK2EdpTc36cNTw,https://s3-media1.fl.yelpcdn.com/bphoto/CnY1AKzN6ZjYWWC4VJxBKA/o.jpg,False,"{'address1': '198-19 Hollis Ave', 'address2': '', 'address3': None, 'city': 'Jamaica', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['198-19 Hollis Ave', 'Jamaica, NY 11412']}",mr. takeout nyc,,3.0,40,[],https://www.yelp.com/biz/mr-takeout-nyc-jamaica?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,soulfood,40.7065399,-73.7589799,11412
8,farmers-pizza-st-albans,629.7462713495959,8FdXrnvPMbajXdM0DIwsiw,https://s3-media2.fl.yelpcdn.com/bphoto/BV3aR70UdmDgQS-sY_jB2A/o.jpg,False,"{'address1': '111-36 Farmers Blvd', 'address2': None, 'address3': None, 'city': 'St Albans', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['111-36 Farmers Blvd', 'St Albans, NY 11412']}",farmer's pizza,$,3.0,39,"['delivery', 'pickup']",https://www.yelp.com/biz/farmers-pizza-st-albans?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,40.70103,-73.76505,11412
9,patmar-bake-shop-saint-albans,1009.4123018934604,VHkUdUi95iLVuMBjTcmKGw,https://s3-media1.fl.yelpcdn.com/bphoto/KgUEn3p5cF2PBPTlhFGb4A/o.jpg,False,"{'address1': '20507 Linden Blvd', 'address2': '', 'address3': '', 'city': 'Saint Albans', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['20507 Linden Blvd', 'Saint Albans, NY 11412']}",patmar bake shop,$$,3.5,21,[],https://www.yelp.com/biz/patmar-bake-shop-saint-albans?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,40.6959681,-73.7472519,11412
