,level_0,alias,category,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
0,0,the-dead-rabbit-new-york,cocktailbars,201.19383372271287,RemvTpxalDjSew5HwmNzUQ,https://s3-media3.fl.yelpcdn.com/bphoto/7txsI-CAV_BW6IN4pf5WlQ/o.jpg,False,"{'address1': '30 Water St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['30 Water St', 'New York, NY 10004']}",the dead rabbit,$$,4.0,1255,[],https://www.yelp.com/biz/the-dead-rabbit-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/10/2013,40.70329,-74.01102,10004
1,1,lukes-lobster-fidi-new-york,seafood,222.69679381792446,kxykwx5qTWBhlMh18MQ82Q,https://s3-media2.fl.yelpcdn.com/bphoto/C5NV5lfsLo2nJDkx3Or9ig/o.jpg,False,"{'address1': '26 S William St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['26 S William St', 'New York, NY 10004']}",luke's lobster fidi,$$,4.5,982,"['pickup', 'delivery']",https://www.yelp.com/biz/lukes-lobster-fidi-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,6/5/2011,40.7046213003984,-74.0107793876969,10004
2,2,adriennes-pizzabar-new-york,pizza,264.1210156310841,yH6t1JWcwkdWG4CS5KPvow,https://s3-media4.fl.yelpcdn.com/bphoto/MOG8wpqkeYQxDslq7ospLw/o.jpg,False,"{'address1': '54 Stone St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['54 Stone St', 'New York, NY 10004']}",adrienne's pizzabar,$$,4.0,1455,"['pickup', 'delivery']",https://www.yelp.com/biz/adriennes-pizzabar-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,6/17/2005,40.7043362,-74.0101733,10004
3,3,antica-ristorante-new-york,italian,91.76584811951805,0Tvwk0hvgaY0QVIsZGTZKQ,https://s3-media3.fl.yelpcdn.com/bphoto/uORVHkBn9xrLR6yQYtl7Yg/o.jpg,False,"{'address1': '8 Stone St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['8 Stone St', 'New York, NY 10004']}",antica ristorante,$$$,4.5,402,"['restaurant_reservation', 'pickup', 'delivery']",https://www.yelp.com/biz/antica-ristorante-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,12/8/2006,40.7039355145338,-74.0121731758117,10004
4,4,the-battery-new-york,parks,106.77417251558279,-qMrl4pSdhyvaUEw_sgbng,https://s3-media4.fl.yelpcdn.com/bphoto/gQY_S8769LiYYnVXwrV_Vg/o.jpg,False,"{'address1': 'State St & Battery Pl', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10079', 'country': 'US', 'state': 'NY', 'display_address': ['State St & Battery Pl', 'New York, NY 10079']}",the battery,,4.5,326,[],https://www.yelp.com/biz/the-battery-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/11/2007,40.70439,-74.014245,10079
5,5,national-september-11-memorial-museum-new-york,museums,834.2055035757495,kViIWJFfAfWPpJOwAXBKGA,https://s3-media1.fl.yelpcdn.com/bphoto/SasH0IsOFS_m18WD2sN5Jg/o.jpg,False,"{'address1': '180 Greenwich St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['180 Greenwich St', 'New York, NY 10007']}",national september 11 memorial museum,,4.5,1298,[],https://www.yelp.com/biz/national-september-11-memorial-museum-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/6/2007,40.71144,-74.01301,10007
6,6,new-york-city-new-york-14,localflavor,50.4592427921641,DCRJ8UBoRq8_8tDkTgqb3w,https://s3-media4.fl.yelpcdn.com/bphoto/4xBXtGN2nTDMACnClvQaSQ/o.jpg,False,"{'address1': '', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['New York, NY 10004']}",new york city,,4.5,202,[],https://www.yelp.com/biz/new-york-city-new-york-14?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/24/2006,40.7044715881348,-74.0115127563477,10004
7,7,delmonicos-new-york,steak,253.65639395576974,7NqFIuXuRwm6WuuseLxAVw,https://s3-media1.fl.yelpcdn.com/bphoto/VBibsSdQD-mT6EVASM21iw/o.jpg,False,"{'address1': '56 Beaver St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['56 Beaver St', 'New York, NY 10004']}",delmonico's,$$$$,4.0,891,['pickup'],https://www.yelp.com/biz/delmonicos-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/29/2006,40.70507,-74.01019,10004
8,8,fraunces-tavern-new-york-6,tradamerican,172.4046980889969,jjLcqGI11ThxAhcftEh1Aw,https://s3-media3.fl.yelpcdn.com/bphoto/uKwLYrzLAvePQ_dpovmnkw/o.jpg,False,"{'address1': '54 Pearl St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['54 Pearl St', 'New York, NY 10004']}",fraunces tavern,$$,3.5,729,[],https://www.yelp.com/biz/fraunces-tavern-new-york-6?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/29/2006,40.70344,-74.01135,10004
9,9,harrys-new-york-3,steak,306.0388406041052,pNYcGGAj4AYaExlmrEmfUw,https://s3-media2.fl.yelpcdn.com/bphoto/2DjOYso4CjyU_piI6huR2Q/o.jpg,False,"{'address1': '1 Hanover Sq', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['1 Hanover Sq', 'New York, NY 10004']}",harry's,$$$,4.0,596,"['pickup', 'delivery']",https://www.yelp.com/biz/harrys-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/25/2006,40.704512,-74.009834,10004
