,level_0,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
0,0,luigis-restaurant-and-bar-new-hyde-park,726.3469205622922,byijh-1_NEYYJIXG8uemJg,https://s3-media2.fl.yelpcdn.com/bphoto/DQ1RA3ZRG45cvN1F54GEPw/o.jpg,False,"{'address1': '265-21 Union Tpke', 'address2': '', 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['265-21 Union Tpke', 'New Hyde Park, NY 11040']}",luigi's restaurant & bar,$$,4.0,523,[],https://www.yelp.com/biz/luigis-restaurant-and-bar-new-hyde-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.7494655,-73.7077316,11040
1,1,santoor-grill-glen-oaks,429.6106797805317,FoXPtrmgnbWf2RhUrzF4jA,https://s3-media4.fl.yelpcdn.com/bphoto/C6DF36V1Prwn56YDRrBJrQ/o.jpg,False,"{'address1': '25705 Union Tpke', 'address2': '', 'address3': '', 'city': 'Glen Oaks', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['25705 Union Tpke', 'Glen Oaks, NY 11004']}",santoor grill,$$,4.0,282,['pickup'],https://www.yelp.com/biz/santoor-grill-glen-oaks?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.7461651,-73.714548,11004
2,2,tavern-18-restaurant-and-bar-new-hyde-park-8,721.0756315612354,vA0k0TTOA41VFOmenGjJTg,https://s3-media3.fl.yelpcdn.com/bphoto/GBm1PYu2EJOJbzPUmyHjMA/o.jpg,False,"{'address1': '265-11 Union Tpke', 'address2': '', 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['265-11 Union Tpke', 'New Hyde Park, NY 11040']}",tavern 18 restaurant & bar,$$,3.5,329,[],https://www.yelp.com/biz/tavern-18-restaurant-and-bar-new-hyde-park-8?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,comfortfood,40.7494355,-73.7077885,11040
3,3,ralphs-famous-italian-ices-floral-park,666.1199969690953,VY2d-6uFik4F6yGwQYi6TA,https://s3-media2.fl.yelpcdn.com/bphoto/yTCHw3HyM3ahfvImI9MRFA/o.jpg,False,"{'address1': '264-21 Union Tpke', 'address2': '', 'address3': '', 'city': 'Floral Park', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['264-21 Union Tpke', 'Floral Park, NY 11004']}",ralph's famous italian ices,$,4.0,104,[],https://www.yelp.com/biz/ralphs-famous-italian-ices-floral-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,icecream,40.74916,-73.70825,11004
4,4,usha-foods-inc-floral-park,784.5098211704006,7g8kuHMbH2EcL7RkOap7EA,https://s3-media2.fl.yelpcdn.com/bphoto/nz--VGpDcs2hvkuPzVhE6w/o.jpg,False,"{'address1': '255-03 Hillside Ave', 'address2': '', 'address3': '', 'city': 'Floral Park', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['255-03 Hillside Ave', 'Floral Park, NY 11004']}",usha foods inc,$,4.0,133,[],https://www.yelp.com/biz/usha-foods-inc-floral-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.7365326,-73.7126631,11004
5,5,queens-county-farm-museum-floral-park,1019.1577481952387,axVd2dHUP_KZvWxVdJdv7g,https://s3-media3.fl.yelpcdn.com/bphoto/0UZln0vLH1mF6qZpRmJ8HQ/o.jpg,False,"{'address1': '73-50 Little Neck Pkwy', 'address2': '', 'address3': '', 'city': 'Floral Park', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['73-50 Little Neck Pkwy', 'Floral Park, NY 11004']}",queens county farm museum,$,4.0,193,[],https://www.yelp.com/biz/queens-county-farm-museum-floral-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,museums,40.74747,-73.7237,11004
6,6,hamza-and-madina-glen-oaks,824.9666015405303,50Fl_LqDRpf_4lLd2ZbF8g,https://s3-media2.fl.yelpcdn.com/bphoto/t04gFHPixk1Q200nbHAwsQ/o.jpg,False,"{'address1': '253-11 Hillside Ave', 'address2': '', 'address3': '', 'city': 'Glen Oaks', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['253-11 Hillside Ave', 'Glen Oaks, NY 11004']}",hamza & madina,$,4.5,105,[],https://www.yelp.com/biz/hamza-and-madina-glen-oaks?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,streetvendors,40.736377,-73.713297,11004
7,7,mumbai-xpress-floral-park,764.6292148397807,xpW1GmI-IETWNGwMl11cBg,https://s3-media1.fl.yelpcdn.com/bphoto/l5Z2lahAqJ05BuERudbM1Q/o.jpg,False,"{'address1': '256-05 Hillside Ave', 'address2': '', 'address3': '', 'city': 'Floral Park', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['256-05 Hillside Ave', 'Floral Park, NY 11004']}",mumbai xpress,$,4.0,142,[],https://www.yelp.com/biz/mumbai-xpress-floral-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.7367064001505,-73.7116847299956,11004
8,8,the-pike-new-hyde-park,1158.355865045153,6FpT3xC1sXuipu6QQ6YRtQ,https://s3-media1.fl.yelpcdn.com/bphoto/jCyb9wUWrKxFOfR3wi1OiQ/o.jpg,False,"{'address1': '271-02 Union Tpke', 'address2': '', 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['271-02 Union Tpke', 'New Hyde Park, NY 11040']}",the pike,$$,4.0,294,['restaurant_reservation'],https://www.yelp.com/biz/the-pike-new-hyde-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,newamerican,40.7518856127643,-73.7025476055584,11040
9,9,jackson-diner-floral-park,766.6144628140988,paYjzym8MVzYlzlT8bUWvA,https://s3-media3.fl.yelpcdn.com/bphoto/ezTzPHZM_PISjfiyIbVySw/o.jpg,False,"{'address1': '256-01 Hillside Ave', 'address2': '', 'address3': '', 'city': 'Floral Park', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['256-01 Hillside Ave', 'Floral Park, NY 11004']}",jackson diner,$$,4.0,85,[],https://www.yelp.com/biz/jackson-diner-floral-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.7367036060137,-73.7118688067865,11004
