,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
0,pegasus-brooklyn,245.84794311210362,u9mm7AXbqyM2p4Aa5Ufx4g,https://s3-media1.fl.yelpcdn.com/bphoto/NpjBd0dQPd4q5WfNgytD1g/o.jpg,False,"{'address1': '8610 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['8610 3rd Ave', 'Brooklyn, NY 11209']}",pegasus,$$,4.0,308,[],https://www.yelp.com/biz/pegasus-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,breakfast_brunch,40.6232147216797,-74.0314636230469,11209
1,cebu-bar-and-bistro-brooklyn-2,345.88237841523323,uuHujhrkVQdS8XVSGWW2mA,https://s3-media1.fl.yelpcdn.com/bphoto/DzJIyK2yJq1X_Zi2yVFT0A/o.jpg,False,"{'address1': '8801 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['8801 3rd Ave', 'Brooklyn, NY 11209']}",cebu bar & bistro,$$,3.5,574,"['pickup', 'delivery']",https://www.yelp.com/biz/cebu-bar-and-bistro-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,breakfast_brunch,40.62186,-74.031383,11209
2,karam-restaurant-brooklyn-2,175.4906006216057,DWR54ugpSThnDub4xeHWow,https://s3-media3.fl.yelpcdn.com/bphoto/GM9IyzQsXem_2kD0YX1-8g/o.jpg,False,"{'address1': '8519 4th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['8519 4th Ave', 'Brooklyn, NY 11209']}",karam restaurant,$,4.0,286,"['pickup', 'delivery']",https://www.yelp.com/biz/karam-restaurant-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mideastern,40.62297,-74.02807,11209
3,hom-bay-ridge-brooklyn,378.8934351012371,HS71C3KNvUE94GKzU7xhIQ,https://s3-media2.fl.yelpcdn.com/bphoto/giKZ2__5PFJ7QbcFDlpdtw/o.jpg,False,"{'address1': '8810 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['8810 3rd Ave', 'Brooklyn, NY 11209']}",hom bay ridge,$$,4.0,277,[],https://www.yelp.com/biz/hom-bay-ridge-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,breakfast_brunch,40.6218443,-74.0319771,11209
4,polonica-restaurant-brooklyn,150.69224223736782,KY9HMKk4kl6uFz_6fiG1Gg,https://s3-media1.fl.yelpcdn.com/bphoto/7kFC9XYyTk-0cHbdHL4iQA/o.jpg,False,"{'address1': '8303 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['8303 3rd Ave', 'Brooklyn, NY 11209']}",polonica restaurant,$$,4.0,151,"['pickup', 'delivery']",https://www.yelp.com/biz/polonica-restaurant-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,polish,40.62546,-74.02995,11209
5,bagel-boy-brooklyn,383.86906026008177,fZYymv8linCo2id7wIokwQ,https://s3-media3.fl.yelpcdn.com/bphoto/-2-gq17Y9L6RJzCNj0wQuw/o.jpg,False,"{'address1': '8002 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['8002 3rd Ave', 'Brooklyn, NY 11209']}",bagel boy,$,4.0,216,"['pickup', 'delivery']",https://www.yelp.com/biz/bagel-boy-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bagels,40.62779,-74.02963,11209
6,ruzana-brooklyn,349.34051391354063,awRxWGb5C77OYCa-g32fUg,https://s3-media1.fl.yelpcdn.com/bphoto/H1k280KcSGTCUpc0fZ-BPQ/o.jpg,False,"{'address1': '486 85th St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['486 85th St', 'Brooklyn, NY 11209']}",ruzana,$,4.5,119,"['pickup', 'delivery']",https://www.yelp.com/biz/ruzana-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,kebab,40.6221721770876,-74.0260156989098,11209
7,inaka-sushi-brooklyn,166.14204332168413,s8W7-_v13OFJ-671FpL23w,https://s3-media1.fl.yelpcdn.com/bphoto/usb03tNnMVZEPpUJ4TL7_A/o.jpg,False,"{'address1': '8318 3rd Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['8318 3rd Ave', 'Brooklyn, NY 11209']}",inaka sushi,$$,4.0,147,"['pickup', 'delivery']",https://www.yelp.com/biz/inaka-sushi-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,japanese,40.6252403259277,-74.030647277832,11209
8,chadwicks-brooklyn-3,406.58854519056763,9OKc9dAnIVmBWae_x8a0bg,https://s3-media1.fl.yelpcdn.com/bphoto/KDBHJLvA3TMZrkKzkEpKdQ/o.jpg,False,"{'address1': '8822 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['8822 3rd Ave', 'Brooklyn, NY 11209']}",chadwick's,$$$,4.0,208,[],https://www.yelp.com/biz/chadwicks-brooklyn-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,tradamerican,40.62156,-74.03201,11209
9,mussels-and-more-brooklyn,445.30896846774596,JwwUpvy7DfUB0WmhNSlxDQ,https://s3-media1.fl.yelpcdn.com/bphoto/1ZpbQP6TfHEqDD-_nLj4Ow/o.jpg,False,"{'address1': '8001 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['8001 5th Ave', 'Brooklyn, NY 11209']}",mussels & more,$$,3.5,400,"['pickup', 'delivery']",https://www.yelp.com/biz/mussels-and-more-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,seafood,40.625486,-74.0239,11209
