,level_0,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
0,0,new-park-pizza-howard-beach,434.12095625057424,70c-BeXWi6mO9IN3_vnpdg,https://s3-media1.fl.yelpcdn.com/bphoto/gstZU7j5XN-NfLUyo0Ye0A/o.jpg,False,"{'address1': '15671 Crossbay Blvd', 'address2': '', 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['15671 Crossbay Blvd', 'Howard Beach, NY 11414']}",new park pizza,$,4.0,611,[],https://www.yelp.com/biz/new-park-pizza-howard-beach?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,40.6627403949909,-73.8403776268684,11414
1,1,brunos-ristorante-howard-beach,148.97555121052025,p4TYRKQ82N5Ntb6RPdLPMg,https://s3-media2.fl.yelpcdn.com/bphoto/pbRSHpeQqLwsTURgDy_uvQ/o.jpg,False,"{'address1': '158-22A Crossbay Blvd', 'address2': '', 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['158-22A Crossbay Blvd', 'Howard Beach, NY 11414']}",bruno's ristorante,$$,4.5,143,[],https://www.yelp.com/biz/brunos-ristorante-howard-beach?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.6595993041992,-73.8433990478516,11414
2,2,lennys-clam-bar-howard-beach,415.54789500022986,Yu31-BeC27cVc76jgKV1jw,https://s3-media2.fl.yelpcdn.com/bphoto/T7sz-1iF2MGUFGgwAMGouw/o.jpg,False,"{'address1': '16103 Crossbay Blvd', 'address2': '', 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['16103 Crossbay Blvd', 'Howard Beach, NY 11414']}",lenny's clam bar,$$,3.5,400,"['delivery', 'pickup']",https://www.yelp.com/biz/lennys-clam-bar-howard-beach?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,seafood,40.6557040405579,-73.8386900905761,11414
3,3,saffron-restaurant-howard-beach,546.3468107850863,rI2AEfnQVvnFoWn2De96Qg,https://s3-media2.fl.yelpcdn.com/bphoto/ErLtQ7_4HREDQQim8aBa6Q/o.jpg,False,"{'address1': '16150 Cross Bay Blvd', 'address2': '', 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['16150 Cross Bay Blvd', 'Howard Beach, NY 11414']}",saffron restaurant,$$,4.0,269,[],https://www.yelp.com/biz/saffron-restaurant-howard-beach?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,spanish,40.6542780937095,-73.8390364032719,11414
4,4,ginos-pizzeria-and-restaurant-howard-beach,110.39917219614452,TvW_d7tEfrBk6E4GGBuMCQ,https://s3-media3.fl.yelpcdn.com/bphoto/FE_L8xc11bcQlnHhGlCjjQ/o.jpg,False,"{'address1': '158-46 Crossbay Blvd', 'address2': '', 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['158-46 Crossbay Blvd', 'Howard Beach, NY 11414']}",gino's pizzeria & restaurant,$$,3.5,247,[],https://www.yelp.com/biz/ginos-pizzeria-and-restaurant-howard-beach?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,40.6595708440487,-73.8402999748963,11414
5,5,sakura-howard-beach,118.76822763431886,G1HUAEpZcNHXO1V1gLoASQ,https://s3-media3.fl.yelpcdn.com/bphoto/Zd21eK7mjJAwAu2J3rgu5A/o.jpg,False,"{'address1': '158-38 Crossbay Blvd', 'address2': '', 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['158-38 Crossbay Blvd', 'Howard Beach, NY 11414']}",sakura,$$,4.0,89,"['delivery', 'pickup']",https://www.yelp.com/biz/sakura-howard-beach?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,sushi,40.6596103,-73.8402501,11414
6,6,vetro-restaurant-and-wine-bar-howard-beach-2,1113.7975290165525,L1gs262Sz476G9tOzuoJxg,https://s3-media3.fl.yelpcdn.com/bphoto/CPNvCBVYr3poXtjQMGY5XA/o.jpg,False,"{'address1': '164-49 Crossbay Blvd', 'address2': None, 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['164-49 Crossbay Blvd', 'Howard Beach, NY 11414']}",vetro restaurant & wine bar,$$$,4.0,225,[],https://www.yelp.com/biz/vetro-restaurant-and-wine-bar-howard-beach-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.6494053,-73.837026,11414
7,7,crossbay-diner-howard-beach-2,326.34134883127837,vj5FPx1Cu5W0Jsf-BCFApA,https://s3-media4.fl.yelpcdn.com/bphoto/_QynHSWx4zh-61tkV-1Dhw/o.jpg,False,"{'address1': '160-31 Cross Bay Blvd', 'address2': '', 'address3': None, 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['160-31 Cross Bay Blvd', 'Howard Beach, NY 11414']}",crossbay diner,$$,3.5,227,"['delivery', 'pickup']",https://www.yelp.com/biz/crossbay-diner-howard-beach-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,tradamerican,40.6566038513545,-73.8388371675194,11414
8,8,russos-on-the-bay-howard-beach,687.8034611681516,sIzs0yJQmpDHUGTgjG2BSQ,https://s3-media1.fl.yelpcdn.com/bphoto/7_AZqw8zryQHfYylj5A37w/o.jpg,False,"{'address1': '162-45 Cross Bay Blvd', 'address2': '', 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['162-45 Cross Bay Blvd', 'Howard Beach, NY 11414']}",russo's on the bay,$$$$,4.0,116,[],https://www.yelp.com/biz/russos-on-the-bay-howard-beach?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,catering,40.6533378,-73.8381428,11414
9,9,prima-pasta-and-cafe-howard-beach,535.1559614813666,MUYbGM2a38uhFbvhnFusYg,https://s3-media3.fl.yelpcdn.com/bphoto/Mi-7RlCMwTwsKcerM98Tng/o.jpg,False,"{'address1': '16150 B Crossbay Blvd', 'address2': '', 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['16150 B Crossbay Blvd', 'Howard Beach, NY 11414']}",prima pasta & cafe,$$,3.5,162,"['delivery', 'pickup']",https://www.yelp.com/biz/prima-pasta-and-cafe-howard-beach?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.6543905342691,-73.8390183025516,11414
