,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,oldest_review,latitude,longitude,zipcode
0,laojie-hotpot-brooklyn-4,1049.492093341161,16heVvLqYfLpl8mC1RN3Bg,https://s3-media1.fl.yelpcdn.com/bphoto/4PxIyeha6I7LjoKyyPAbOg/o.jpg,False,"{'address1': '811 53rd St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['811 53rd St', 'Brooklyn, NY 11220']}",laojie hotpot,$$,4.5,326,[],https://www.yelp.com/biz/laojie-hotpot-brooklyn-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,hotpot,11/9/2016,40.6389709339157,-74.0046846944427,11220
1,east-harbor-seafood-palace-brooklyn,808.3320020197502,P2bxlKAmRWZIpHdJ_JT3fg,https://s3-media1.fl.yelpcdn.com/bphoto/YdAPhtw9AhMZ7AE0fXR3Sg/o.jpg,False,"{'address1': '714 65th St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['714 65th St', 'Brooklyn, NY 11220']}",east harbor seafood palace,$$,4.0,607,[],https://www.yelp.com/biz/east-harbor-seafood-palace-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,dimsum,1/2/2009,40.633533,-74.014343,11220
2,ba-xuyen-brooklyn-2,1549.954422873901,O-zwQQV8AExgdPoJiqjpDg,https://s3-media2.fl.yelpcdn.com/bphoto/fJN3Gk81mkAyd7yrsmOtgA/o.jpg,False,"{'address1': '4222 8th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11232', 'country': 'US', 'state': 'NY', 'display_address': ['4222 8th Ave', 'Brooklyn, NY 11232']}",ba xuyen,$,4.5,596,[],https://www.yelp.com/biz/ba-xuyen-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,vietnamese,4/18/2007,40.64528,-73.9997099,11232
3,yemen-cafe-and-restaurant-brooklyn-3,1036.8074909864677,wctR1TrheHAwpHZ2sJknEw,https://s3-media4.fl.yelpcdn.com/bphoto/R_X9rsmlSLJjsz0OUB7bgA/o.jpg,False,"{'address1': '176 Atlantic Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['176 Atlantic Ave', 'Brooklyn, NY 11201']}",yemen cafe & restaurant,$$,4.5,413,[],https://www.yelp.com/biz/yemen-cafe-and-restaurant-brooklyn-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mideastern,3/9/2007,40.6319695,-74.0218301,11201
4,brooklyn-beet-company-brooklyn,1157.3059461966895,nZ0Y8ngCxpY3xlz4f4pNTQ,https://s3-media3.fl.yelpcdn.com/bphoto/h31sZZbPnkwWf0FhvwuMdg/o.jpg,False,"{'address1': '7205 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['7205 3rd Ave', 'Brooklyn, NY 11209']}",brooklyn beet company,$$,4.5,382,[],https://www.yelp.com/biz/brooklyn-beet-company-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,modern_european,5/29/2013,40.6333416,-74.0268741,11209
5,tanoreen-brooklyn-2,1417.113675713048,_-EQR2vNYg-b1eZwAgp6JQ,https://s3-media4.fl.yelpcdn.com/bphoto/_VUXeozk0FAznwZKHgXrIQ/o.jpg,False,"{'address1': '7523 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['7523 3rd Ave', 'Brooklyn, NY 11209']}",tanoreen,$$,4.0,754,"['delivery', 'pickup']",https://www.yelp.com/biz/tanoreen-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mideastern,6/14/2007,40.6307983398438,-74.0277481079102,11209
6,prince-tea-house-brooklyn-2,608.5643971696113,_RT9XPpn5jkNesxNzvktqw,https://s3-media2.fl.yelpcdn.com/bphoto/xoU5ySeIE8WEs1hWfNG9kg/o.jpg,False,"{'address1': '6122 7th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['6122 7th Ave', 'Brooklyn, NY 11220']}",prince tea house,$$,4.0,435,[],https://www.yelp.com/biz/prince-tea-house-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,desserts,8/28/2015,40.63594,-74.01303,11220
7,mister-hotpot-brooklyn-2,944.8212772788727,B8tDnyFltP3bxMxSsjCvVA,https://s3-media4.fl.yelpcdn.com/bphoto/stHFpcR6n40gsgeKnZR0OQ/o.jpg,False,"{'address1': '5306 8th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['5306 8th Ave', 'Brooklyn, NY 11220']}",mister hotpot,$$,4.0,403,[],https://www.yelp.com/biz/mister-hotpot-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,chinese,10/5/2011,40.6394,-74.005859,11220
8,ginos-restaurant-brooklyn-2,1270.2055024069064,AAQDZdKhtcX7otmOfOF9nw,https://s3-media4.fl.yelpcdn.com/bphoto/M6VFUBkYlMWJSLzgscfk8w/o.jpg,False,"{'address1': '7414 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['7414 5th Ave', 'Brooklyn, NY 11209']}",gino's restaurant,$$,4.0,555,"['delivery', 'pickup']",https://www.yelp.com/biz/ginos-restaurant-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,4/13/2006,40.63,-74.02274,11209
9,99-favor-taste-brooklyn-5,714.2420345731059,isIFCDLE3VIDJcqhVy_klA,https://s3-media3.fl.yelpcdn.com/bphoto/3-UDqzPN5XbWYhlatDXIiA/o.jpg,False,"{'address1': '732 61st St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['732 61st St', 'Brooklyn, NY 11220']}",99 favor taste,$$,4.0,531,[],https://www.yelp.com/biz/99-favor-taste-brooklyn-5?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,chinese,5/1/2012,40.6355691,-74.0115482,11220
