,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
0,up-thai-new-york,234.5220159494341,-OixbLnFLCzQclxCSbUQ8w,https://s3-media3.fl.yelpcdn.com/bphoto/g9J3naudQZY72qJAHUOI8A/o.jpg,False,"{'address1': '1411 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['1411 2nd Ave', 'New York, NY 10021']}",up thai,$$,4.5,1786,"['delivery', 'pickup']",https://www.yelp.com/biz/up-thai-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,thai,40.7698275926665,-73.9576330868512,10021
1,ladurée-madison-ave-new-york,539.2014536526087,_DcfYjnGffQI3iP1Be0kdA,https://s3-media2.fl.yelpcdn.com/bphoto/o1u9vyQXjkqzfZOVhy18mg/o.jpg,False,"{'address1': '864 Madison Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['864 Madison Ave', 'New York, NY 10021']}",ladurée madison ave,$$$,4.5,1788,[],https://www.yelp.com/biz/ladur%C3%A9e-madison-ave-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,macarons,40.7707702252517,-73.9663760711639,10021
2,daniel-new-york-4,672.9676692385674,DZaN3bNWfwcm__sNw5bvDg,https://s3-media3.fl.yelpcdn.com/bphoto/LasG7T2JB_8FicF0SDbRMA/o.jpg,False,"{'address1': '60 E 65th St.', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10065', 'country': 'US', 'state': 'NY', 'display_address': ['60 E 65th St.', 'New York, NY 10065']}",daniel,$$$$,4.5,1432,[],https://www.yelp.com/biz/daniel-new-york-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,french,40.7667736797858,-73.967607,10065
3,uva-new-york,514.8809546614016,OAqsZMbjv66nOMqlimnYuQ,https://s3-media2.fl.yelpcdn.com/bphoto/LuBeOvEcWeR_lXGcw39UcQ/o.jpg,False,"{'address1': '1486 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['1486 2nd Ave', 'New York, NY 10075']}",uva,$$,4.0,2067,[],https://www.yelp.com/biz/uva-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.77216,-73.95556,10075
4,candle-79-new-york,615.0758281455749,MidK0WWI0_1tZL8AuR7Jhw,https://s3-media3.fl.yelpcdn.com/bphoto/Ym3uhRY7_4N_S0NFCOThjA/o.jpg,False,"{'address1': '154 E 79th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['154 E 79th St', 'New York, NY 10075']}",candle 79,$$$,4.0,1241,[],https://www.yelp.com/biz/candle-79-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,vegetarian,40.774627,-73.958697,10075
5,the-candle-cafe-new-york-3,263.66001851932117,x5HLJVEOYF-cCmGEZFu9yA,https://s3-media1.fl.yelpcdn.com/bphoto/CiOP5kgEXB6Ra5GchxGR_w/o.jpg,False,"{'address1': '1307 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['1307 3rd Ave', 'New York, NY 10021']}",the candle cafe,$$,4.0,818,['delivery'],https://www.yelp.com/biz/the-candle-cafe-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,vegan,40.771434,-73.959146,10021
6,two-little-red-hens-new-york-4,1168.572053076209,UGECJrPSWy0n7PXykBBWAQ,https://s3-media3.fl.yelpcdn.com/bphoto/gF02Oh2PfE2OS7Nz3MqV4g/o.jpg,False,"{'address1': '1652 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1652 2nd Ave', 'New York, NY 10028']}",two little red hens,$$,4.5,2278,[],https://www.yelp.com/biz/two-little-red-hens-new-york-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,40.777528,-73.9517869,10028
7,lukes-lobster-upper-east-side-new-york,780.2927976779915,yN5rHxaIZMk6KFrbDNgZgA,https://s3-media1.fl.yelpcdn.com/bphoto/3tKTggoDk8cj0QBseU_sMg/o.jpg,False,"{'address1': '242 E 81st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['242 E 81st St', 'New York, NY 10028']}",luke's lobster upper east side,$$,4.0,1104,"['delivery', 'pickup']",https://www.yelp.com/biz/lukes-lobster-upper-east-side-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,seafood,40.7747308470083,-73.9545491922026,10028
8,heidis-house-by-the-side-of-the-road-new-york-2,552.7427391927812,26E3j9l0XW_onVIUP-ThCw,https://s3-media3.fl.yelpcdn.com/bphoto/X3Yt1SKN2mUO09c-zBrcAA/o.jpg,False,"{'address1': '308 E 78th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['308 E 78th St', 'New York, NY 10075']}",heidi's house by the side of the road,$$,4.5,555,[],https://www.yelp.com/biz/heidis-house-by-the-side-of-the-road-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,wine_bars,40.772189,-73.955029,10075
9,boqueria-spanish-tapas-upper-east-side-new-york,439.39676053589335,5S8ZK9XLdl4l645twbNYZQ,https://s3-media2.fl.yelpcdn.com/bphoto/4jYT-BRK1E7lODxL5aZQaQ/o.jpg,False,"{'address1': '1460 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['1460 2nd Ave', 'New York, NY 10075']}",boqueria spanish tapas - upper east side,$$$,4.0,584,"['delivery', 'pickup']",https://www.yelp.com/biz/boqueria-spanish-tapas-upper-east-side-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,tapasmallplates,40.77149,-73.95602,10075
