,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
0,levain-bakery-new-york,407.18195778981317,H4jJ7XB3CetIr1pg56CczQ,https://s3-media4.fl.yelpcdn.com/bphoto/jOj8ixgwJwvxsKVuQ3mPcw/o.jpg,False,"{'address1': '167 W 74th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['167 W 74th St', 'New York, NY 10023']}",levain bakery,$$,4.5,6904,[],https://www.yelp.com/biz/levain-bakery-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,40.7799404643263,-73.980282552649,10023
1,sushi-yasaka-new-york,396.16802906462027,HZWHBfeuP4Fb6y8b8uqnbA,https://s3-media3.fl.yelpcdn.com/bphoto/0vSAllJZz2XbKzg5JCIf1A/o.jpg,False,"{'address1': '251 W 72nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['251 W 72nd St', 'New York, NY 10023']}",sushi yasaka,$$,4.0,1551,"['delivery', 'pickup']",https://www.yelp.com/biz/sushi-yasaka-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,japanese,40.779583,-73.983482,10023
2,jean-georges-new-york-2,808.2527218010806,PBUIaPtgnhmdHE3KHglK-g,https://s3-media1.fl.yelpcdn.com/bphoto/iaGpNeGJMFrBIm0WyKE8oA/o.jpg,False,"{'address1': '1 Central Park W', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['1 Central Park W', 'New York, NY 10023']}",jean-georges,$$$$,4.5,1735,"['delivery', 'pickup']",https://www.yelp.com/biz/jean-georges-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,french,40.7691122743293,-73.9814290717583,10023
3,per-se-new-york,921.9079815027113,1DfbZ0VsSCg9g1KILmnvzQ,https://s3-media4.fl.yelpcdn.com/bphoto/cOGT509s8Vv3dm3N8scx_Q/o.jpg,False,"{'address1': '10 Columbus Cir', 'address2': 'Fl 4', 'address3': None, 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['10 Columbus Cir', 'Fl 4', 'New York, NY 10019']}",per se,$$$$,4.5,1441,[],https://www.yelp.com/biz/per-se-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,french,40.7681528889558,-73.9827629623657,10019
4,shake-shack-new-york-5,641.5930902971313,wXpCNNTT2kqh-fTnSWXdEA,https://s3-media1.fl.yelpcdn.com/bphoto/73Pot48qRUuh7GmKSTdj5g/o.jpg,False,"{'address1': '366 Columbus Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['366 Columbus Ave', 'New York, NY 10024']}",shake shack,$$,4.0,2287,['delivery'],https://www.yelp.com/biz/shake-shack-new-york-5?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,burgers,40.7808207060578,-73.9765516723468,10024
5,american-museum-of-natural-history-new-york,822.1767628934557,O1gHEYYSCULCcfJD9sLJqw,https://s3-media2.fl.yelpcdn.com/bphoto/OuHzHbajbwY5wpr0txLHVA/o.jpg,False,"{'address1': 'Central Park West 79th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['Central Park West 79th St', 'New York, NY 10024']}",american museum of natural history,,4.0,1890,[],https://www.yelp.com/biz/american-museum-of-natural-history-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,museums,40.7812401294975,-73.9740586283456,10024
6,grays-papaya-new-york,222.39372594928471,477o_-7VmcnTokazWtEa0A,https://s3-media2.fl.yelpcdn.com/bphoto/Q1C2DMypkuydXNxId9qh9Q/o.jpg,False,"{'address1': '2090 Broadway', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['2090 Broadway', 'New York, NY 10023']}",gray's papaya,$,3.5,1286,[],https://www.yelp.com/biz/grays-papaya-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,hotdog,40.7783783121866,-73.9815581747816,10023
7,beard-papas-new-york,642.1443838019968,JaFHhBaCNRJYaGW9zeFQCQ,https://s3-media4.fl.yelpcdn.com/bphoto/UmVFgTywBRw_NRyd5T2JlQ/o.jpg,False,"{'address1': '2167 Broadway', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['2167 Broadway', 'New York, NY 10024']}",beard papa's,$,4.5,783,[],https://www.yelp.com/biz/beard-papas-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,40.7822263,-73.9811905,10024
8,marea-new-york,996.7413638896828,H_KyiRhwho8rdlw_R93_0Q,https://s3-media2.fl.yelpcdn.com/bphoto/wAddVCTbdxRYCwVLp5l4gg/o.jpg,False,"{'address1': '240 Central Park S', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['240 Central Park S', 'New York, NY 10019']}",marea,$$$$,4.0,1799,[],https://www.yelp.com/biz/marea-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,italian,40.7674213694566,-73.9810554368179,10019
9,calle-ocho-new-york,990.9264050502368,H9GD7km7riFooM0FkdwOPg,https://s3-media2.fl.yelpcdn.com/bphoto/kj59JQsA5PDgx_CeDBHCWA/o.jpg,False,"{'address1': '45 W 81st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['45 W 81st St', 'New York, NY 10024']}",calle ocho,$$,4.0,2369,"['delivery', 'pickup']",https://www.yelp.com/biz/calle-ocho-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,cuban,40.7831208393736,-73.9737190394484,10024
10,shalel-kitchen-new-york,178.7443049489095,Bt6RoIcazXayp1a8lMSvzA,https://s3-media3.fl.yelpcdn.com/bphoto/Opt8W9-COYVI9vviJKFopw/o.jpg,False,"{'address1': '65 W 70th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['65 W 70th St', 'New York, NY 10023']}",shalel kitchen,$$,4.0,571,[],https://www.yelp.com/biz/shalel-kitchen-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,lounges,40.7760977,-73.9793291,10023
11,alices-tea-cup-new-york,296.23714182243,kaSd6qzlsxn__ILDtGf3iA,https://s3-media2.fl.yelpcdn.com/bphoto/nRVvlJQUgYPYMd4C7vxTtw/o.jpg,False,"{'address1': '102 W 73rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['102 W 73rd St', 'New York, NY 10023']}",alice's tea cup,$$,4.0,979,"['restaurant_reservation', 'pickup']",https://www.yelp.com/biz/alices-tea-cup-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,breakfast_brunch,40.77802,-73.9787,10023
12,the-smith-new-york-3,530.5675626198008,JYNBy2r3LVhJbLHE1bASfg,https://s3-media4.fl.yelpcdn.com/bphoto/xJ_cTGgxwPs_Tr4cIw_VOA/o.jpg,False,"{'address1': '1900 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['1900 Broadway', 'New York, NY 10023']}",the smith,$$,3.5,1376,"['delivery', 'pickup']",https://www.yelp.com/biz/the-smith-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,newamerican,40.7716201269986,-73.9818377981476,10023
