,alias,category,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
0,robertas-brooklyn-2,pizza,645.5494483673842,FhXjAc6nKLf414KxYujUHw,https://s3-media4.fl.yelpcdn.com/bphoto/xRNPKIfF2Gr02zBiBl3dSA/o.jpg,False,"{'address1': '261 Moore St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['261 Moore St', 'Brooklyn, NY 11206']}",roberta's,$$,4.0,2458,"['delivery', 'pickup']",https://www.yelp.com/biz/robertas-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/13/2008,40.705043534338,-73.93357123374,11206
1,champs-diner-brooklyn,vegan,537.3201873500556,u_3TLN0u6LyOL01vdjFOug,https://s3-media2.fl.yelpcdn.com/bphoto/uyxt1_gzxpv1rmLm5usXvA/o.jpg,False,"{'address1': '197 Meserole St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['197 Meserole St', 'Brooklyn, NY 11206']}",champs diner,$$,4.0,1193,"['delivery', 'pickup']",https://www.yelp.com/biz/champs-diner-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/5/2010,40.7084397372605,-73.9407808520115,11206
2,dun-well-doughnuts-brooklyn,donuts,464.3547898855362,yOc5CZ5VxHGqj96RUuZCMA,https://s3-media3.fl.yelpcdn.com/bphoto/fqhSaqxhaK4hvgQ78AEzuA/o.jpg,False,"{'address1': '222 Montrose Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['222 Montrose Ave', 'Brooklyn, NY 11206']}",dun-well doughnuts,$,4.0,775,[],https://www.yelp.com/biz/dun-well-doughnuts-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/30/2011,40.707743,-73.940202,11206
3,samurai-papa-brooklyn-2,japanese,232.94919047103542,7xpbioe88rnW7JjzLEQeRg,https://s3-media2.fl.yelpcdn.com/bphoto/9zhXHJ1j6hQ-9GltTze6wg/o.jpg,False,"{'address1': '32 Varet St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['32 Varet St', 'Brooklyn, NY 11206']}",samurai papa,$$,4.5,227,"['pickup', 'delivery']",https://www.yelp.com/biz/samurai-papa-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/11/2014,40.702892072912,-73.943588398397,11206
4,nam-nam-brooklyn-2,vietnamese,542.7832222006516,R-TRmWuK1nBGRB7iq0XphA,https://s3-media3.fl.yelpcdn.com/bphoto/lsahrB2KBae55CbDVhUrmw/o.jpg,False,"{'address1': '109 Montrose Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['109 Montrose Ave', 'Brooklyn, NY 11206']}",nam nam,$,4.5,405,['pickup'],https://www.yelp.com/biz/nam-nam-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/9/2011,40.70728,-73.94509,11206
5,momo-sushi-shack-brooklyn,japanese,667.1220238015777,ZrzSDDj54aUlPqn4MQMKeQ,https://s3-media2.fl.yelpcdn.com/bphoto/1uRDOKl1bY_mDTwiY165Mg/o.jpg,False,"{'address1': '43 Bogart St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['43 Bogart St', 'Brooklyn, NY 11206']}",momo sushi shack,$$,4.0,631,"['pickup', 'delivery']",https://www.yelp.com/biz/momo-sushi-shack-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/20/2010,40.7051406133,-73.933340055132,11206
6,win-son-brooklyn-4,taiwanese,476.89611069634833,3gqKLANaXNsHZnPDjKrcTg,https://s3-media3.fl.yelpcdn.com/bphoto/C-EM6eE5mcCU6Ef3w_EgzA/o.jpg,False,"{'address1': '159 Graham Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['159 Graham Ave', 'Brooklyn, NY 11206']}",win son,$$,4.5,285,[],https://www.yelp.com/biz/win-son-brooklyn-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/20/2016,40.70747,-73.94339,11206
7,le-barricou-brooklyn,breakfast_brunch,1146.171213698232,TIjtmaeUZexPZvcBz73VCw,https://s3-media3.fl.yelpcdn.com/bphoto/o7NLStlMqtzsybLvM3CMaA/o.jpg,False,"{'address1': '533 Grand St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['533 Grand St', 'Brooklyn, NY 11211']}",le barricou,$$,4.0,1141,"['pickup', 'delivery']",https://www.yelp.com/biz/le-barricou-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/19/2007,40.7113,-73.95005,11211
8,mountain-province-brooklyn,bakeries,902.9385866799088,1RRD6Ub4QEW9ZeyaBMx5jQ,https://s3-media4.fl.yelpcdn.com/bphoto/rDvQACr7mNOngJUnrl8srA/o.jpg,False,"{'address1': '9 Meserole St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['9 Meserole St', 'Brooklyn, NY 11206']}",mountain province,$,4.5,233,"['pickup', 'delivery']",https://www.yelp.com/biz/mountain-province-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/17/2013,40.7075228032172,-73.9503787374344,11206
9,east-wick-brooklyn-3,newamerican,209.0215861528994,mojQ_3WMhHzrSYpWJQlwkQ,https://s3-media2.fl.yelpcdn.com/bphoto/DdKLWZxRwKHP1xGdD8PQHg/o.jpg,False,"{'address1': '112 Graham Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['112 Graham Ave', 'Brooklyn, NY 11206']}",east wick,$$,4.0,241,"['pickup', 'delivery']",https://www.yelp.com/biz/east-wick-brooklyn-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/13/2013,40.705051,-73.9425849,11206
