,borough,neighborhood,zipcodes
0,Bronx,BronxCentral,"['10453', '10457', '10460']"
1,Bronx,Bronx Park and Fordham,"['10458', '10467', '10468']"
2,Bronx,High Bridge,"['10451', '10452', '10456']"
3,Bronx,Hunts Point and Mott Haven,"['10454', '10455', '10459', '10474']"
4,Bronx,Kingsbridge and Riverdale,"['10463', '10471']"
5,Bronx,Northeast Bronx,"['10466', '10469', '10470', '10475']"
6,Bronx,Southeast Bronx,"['10461', '10462', '10464', '10465', '10472', '10473']"
7,Brooklyn,Central Brooklyn,"['11212', '11213', '11216', '11233', '11238']"
8,Brooklyn,Southwest Brooklyn,"['11209', '11214', '11228']"
9,Brooklyn,Borough Park,"['11204', '11218', '11219', '11230']"
10,Brooklyn,Canarsie and Flatlands,"['11234', '11236', '11239']"
11,Brooklyn,Southern Brooklyn,"['11223', '11224', '11229', '11235']"
12,Brooklyn,Northwest Brooklyn,"['11201', '11205', '11215', '11217', '11231']"
13,Brooklyn,Flatbush,"['11203', '11210', '11225', '11226']"
14,Brooklyn,East New York and New Lots,"['11207', '11208']"
15,Brooklyn,Greenpoint,['11222']
16,Brooklyn,Sunset Park,"['11220', '11232']"
17,Brooklyn,Williamsburg,"['11206', '11237', '11211']"
18,Brooklyn,Bushwick,['11221']
19,Manhattan,Central Harlem,"['10026', '10027', '10030', '10037', '10039']"
20,Manhattan,Chelsea and Clinton,"['10001', '10011', '10018', '10019', '10020', '10036']"
21,Manhattan,East Harlem,"['10029', '10035']"
22,Manhattan,Gramercy Park and Murray Hill,"['10010', '10016', '10017', '10022']"
23,Manhattan,Greenwich Village and Soho,"['10012', '10013', '10014']"
24,Manhattan,Lower Manhattan,"['10004', '10005', '10006', '10007', '10038', '10280']"
25,Manhattan,Lower East Side,"['10002', '10003', '10009']"
26,Manhattan,Upper East Side,"['10021', '10028', '10044', '10065', '10075', '10128']"
27,Manhattan,Upper West Side,"['10023', '10024', '10025']"
28,Manhattan,Inwood and Washington Heights,"['10031', '10032', '10033', '10034', '10040']"
29,Queens,Northeast Queens,"['11361', '11362', '11363', '11364']"
30,Queens,North Queens,"['11354', '11355', '11356', '11357', '11358', '11359', '11360']"
31,Queens,Central Queens,"['11365', '11366', '11367']"
32,Queens,Jamaica,"['11412', '11423', '11432', '11433', '11434', '11435', '11436']"
33,Queens,Northwest Queens,"['11101', '11102', '11103', '11104', '11105', '11106']"
34,Queens,West Central Queens,"['11374', '11375', '11379', '11385']"
35,Queens,Rockaways,"['11691', '11692', '11693', '11694', '11695', '11697']"
36,Queens,Southeast Queens,"['11004', '11005', '11411', '11413', '11422', '11426', '11427', '11428', '11429']"
37,Queens,Southwest Queens,"['11414', '11415', '11416', '11417', '11418', '11419', '11420', '11421']"
38,Queens,West Queens,"['11368', '11369', '11370', '11372', '11373', '11377', '11378']"
39,Staten Island,Port Richmond,"['10302', '10303', '10310']"
40,Staten Island,South Shore,"['10306', '10307', '10308', '10309', '10312']"
41,Staten Island,Stapleton and St. George,"['10301', '10304', '10305']"
42,Staten Island,Mid-Island,['10314']
