,neighborhood,zipcodes,gentrification_label,coffee,cafe,avg_rating,avg_price,starbucks_count,bars,"%, Less than 9th grade","%, 9th to 12th grade, no diploma",% High school graduate (includes equivalency),"% Some college, no degree",% A Associate's degree,% Bachelor's degree,% Graduate or professional degree,% high school graduate or higher,% bachelor's degree or higher,% White,% African American,% American Indian and Alaska Native,% American Indian and Alaska Native - Cherokee tribal grouping,% American Indian and Alaska Native - Chippewa tribal grouping,% American Indian and Alaska Native - Navajo tribal grouping,% American Indian and Alaska Native - Sioux tribal grouping,% Asian,% Asian Indian,% Chinese,% Filipino,% Japanese,% Korean,% Vietnamese,% Other Asian,% Native Hawaiian and Other Pacific Islander,% Native Hawaiian and Other Pacific Islander - Native Hawaiian,% Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,% Native Hawaiian and Other Pacific Islander - Samoan,% Native Hawaiian and Other Pacific Islander - Other Pacific Islander,% Some other race,median_household_income_$,mean_household_income_$
0,BronxCentral,10453,Non-Gentrifying,1.0,2.0,3.4120216562077026,1.4468339307048985,,,17.2,16.3,29.0,16.7,7.5,10.1,3.2,66.6,13.2,10.4,32.0,0.8,0.0,0.0,0.0,0.0,1.5,0.3,0.1,0.2,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.1,52.8,22914,34188
1,BronxCentral,10457,Gentrifying,,2.0,3.1756756756756754,1.2318007662835249,,,18.7,18.6,26.2,18.1,5.6,8.4,4.4,62.7,12.8,11.6,34.5,0.4,0.0,0.0,0.0,0.0,1.3,0.5,0.1,0.2,0.0,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0.0,48.8,25967,38182
2,BronxCentral,10460,Gentrifying,1.0,,3.477435064935065,1.4065934065934065,,,18.2,20.5,25.8,17.8,5.6,9.5,2.6,61.3,12.1,13.4,28.5,0.2,0.0,0.0,0.0,0.0,1.6,0.9,0.3,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,53.6,24086,36206
3,Bronx Park and Fordham,10458,Non-Gentrifying,11.0,6.0,3.774120398617043,1.4616733649981732,2.0,3.0,16.2,15.5,29.4,18.4,6.6,9.9,4.1,68.3,13.9,19.3,20.5,0.4,0.0,0.0,0.0,0.0,3.1,0.8,0.2,0.1,0.2,0.5,0.3,1.1,0.1,0.1,0.0,0.0,0.0,52.2,30339,43596
4,Bronx Park and Fordham,10467,Non-Gentrifying,5.0,3.0,3.5465686274509807,1.274436090225564,,1.0,14.0,14.0,29.1,17.0,6.8,12.9,6.0,72.0,19.0,20.0,35.7,0.7,0.0,0.0,0.0,0.0,6.3,2.1,0.3,0.6,0.0,0.2,0.4,2.7,0.0,0.0,0.0,0.0,0.0,33.3,34964,46982
5,Bronx Park and Fordham,10468,Non-Gentrifying,2.0,3.0,3.358816425120773,1.5969049373618276,1.0,4.0,16.8,15.4,28.7,16.8,5.4,12.3,4.6,67.8,16.9,14.1,21.1,0.7,0.2,0.0,0.0,0.0,3.5,0.7,0.3,0.9,0.1,0.3,0.6,0.6,0.0,0.0,0.0,0.0,0.0,56.2,34988,45872
6,High Bridge,10451,Non-Gentrifying,2.0,,3.8355855855855854,1.3966666666666665,,,17.1,14.2,25.6,17.6,6.4,12.4,6.6,68.7,19.0,10.7,38.8,0.5,0.0,0.0,0.0,0.0,1.8,0.2,0.6,0.1,0.1,0.2,0.1,0.6,0.2,0.2,0.0,0.0,0.0,44.1,26419,43036
7,High Bridge,10452,Non-Gentrifying,2.0,,3.1935410135841176,1.6293402777777777,,,18.7,17.0,26.5,16.9,7.8,10.1,2.9,64.3,13.0,11.1,31.7,0.2,0.0,0.0,0.0,0.0,1.0,0.3,0.2,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,52.0,25771,38071
8,High Bridge,10456,Gentrifying,,3.0,3.4660681679853926,1.5564516129032258,,,19.0,17.3,25.9,18.9,5.5,10.2,3.1,63.7,13.4,8.6,40.7,0.9,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,45.7,25868,37878
9,Hunts Point and Mott Haven,10454,Gentrifying,2.0,1.0,3.6587301587301595,1.7555555555555555,,3.0,23.1,20.3,26.9,15.5,5.3,6.8,2.2,56.6,9.0,15.6,29.1,0.8,0.0,0.0,0.0,0.0,0.7,0.2,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,50.9,21553,33449
